hero_kr,epithet_kr,faction,attr,key,skill_kr,tooltip_kr,mana,cooldown,learn_level,origin,namu_title
니바스,어둠의 마법사,스콜지,지능,G,지옥의 문,"악마들을 불러들이는 지옥의 문을 소환합니다. 악마, 지옥의 문 스펙은 아래 참조 지옥의 문 무적 상태, 지속시간 24초, 지속시간동안 총 6 / 8 / 10마리의 악마 소환 Y - 랠리 포인트 지정 지정된 장소로 소환된 악마들을 공격 이동시킵니다. 이미 소환된 악마들은 이동하지 않음 악마 체력 250 / 350 / 450, 체력 회복 속도 1 / 3 / 3, 공격력 25 - 25 / 30 - 30 / 35 - 35(카오스), 사정거리 400, 방어력 4 / 6 / 8(중형), 공격 속도 1.4, 이동 속도 350, 지속시간 30초 패시브 - 치명타 매 공격마다 13% 확률로 2.5배의 피해를 입힙니다. 지옥의 문 2레벨 이상만 보유 패시브 - 베놈 5초간 초당 8의 피해를 입힙니다. 중첩 가능 지옥의 문 3레벨만 보유",120 / 140 / 160,45,2 / 5 / 8,,니바스
니바스,어둠의 마법사,스콜지,지능,T,어둠의 감옥,"해당 지점을 중심으로 마름모 형태의 어둠의 감옥 40개를 소환합니다. 어둠의 감옥 스펙은 아래 참조 어둠의 감옥 체력 400, 방어력 3(건물), 건물 타입, 지속시간 5 / 6 / 7초",120 / 140 / 160,40 / 34 / 28,1 / 3 / 5,,니바스
니바스,어둠의 마법사,스콜지,지능,W,절망의 섬광,400 범위내 모든 적 유닛과 건물에 0.6초마다 120 / 160 / 200의 피해를 입히는 섬광을 10번 발사합니다. 영웅에게는 15%의 추가 피해를 입힘 채널링 기술 마법 면역 무시,200 / 250 / 300,150,6 / 11 / 16,,니바스
니피,,센티널,힘,T,트랜스뮤트,"대상이 비영웅인 경우 즉시 죽여 0.3 / 0.4 / 0.5배만큼의 추가 골드를 얻고, 고블린을 1 / 2 / 3기 생성합니다. 대상이 영웅인 경우 힘 속성의 2배만큼의 피해를 입히고, 1.5 / 2 / 2.5초간 이동불가 상태로 만듭니다. 고대 거북 및 궁극기급 소환물에게 사용할 수 없음 고블린 스펙은 아래 참조 고블린 체력 475, 체력 회복 +0, 공격력 45 - 45(일반), 사정거리 근접, 방어력 9(대형), 공격 속도 1.6, 이동 속도 420, 지속시간 45초 기계 타입",75 / 100 / 125,20,1 / 4 / 7,,니피
니피,,센티널,힘,B,애시드 봄,"8초간 400 범위 내 적에게 처음 40 / 70 / 100의 피해와 초당 20 / 35 / 50의 피해를 입히며 방어력을 2 / 3 / 4만큼 감소시킵니다. 범위 내의 적은 니피와 고블린의 공격에 6% / 8% / 10%의 추가 피해를 입습니다. 방어력 감소는 마법 면역 무시, 건물 및 기계에도 적용",60 / 70 / 80,15,1 / 3 / 5,,니피
니피,,센티널,힘,R,케미컬 레이지,"24초간 공격 타입이 카오스로, 기본 공격 속도가 1.5 / 1.4 / 1.3으로 변경되며, 공격 속도가 20% / 35 % / 50%만큼 증가합니다. 또한 이동 속도가 15% / 25% / 35%만큼, 방어력이 3 / 5 / 7만큼 증가합니다. 사용시 좋은 연금술 재료가 활성화됨 패시브 - 좋은 연금술 재료 매 공격마다 4 / 8 / 12의 체력을 회복합니다. 건물 및 기계 공격 시에도 회복",25 / 50 / 75,30,1 / 3 / 5,,니피
니피,,센티널,힘,D,자폭,"3.5초후 자폭하여 800 범위 내 적 유닛과 건물에 800 / 1200 + 니피 레벨의 3배의 카붐 피해를 입힙니다. 이후 연금술사 형태로 변경되며, 20 / 15초간 생존시 원래 모습으로 돌아옵니다. 마법 면역 무시 연금술사 스펙은 아래 참조 연금술사 체력 800 / 1200, 체력 회복률 100 / 200, 마력 400, 공격력 50 - 60 / 60 - 70(일반), 사정거리 근접, 방어력 15 / 25(영웅), 공격 속도 1.6, 이동 속도 420 / 450 트랜스뮤트와 애시드 봄은 니피가 습득한 레벨의 스펙으로 사용 가능 케미컬 레이지는 사용 불가 F - 마법 면역 물약 마법에 면역 상태가 됩니다. 지속시간 15초, 재사용 대기시간 25초 G - 연쇄 마법해제 지팡이 적에게 이로운 마법이나 아군에게 불리한 마법을 해제합니다. 재사용 대기시간 4초 패시브 - 리지스턴트 스킨 적군의 마법이 지속되는 시간을 줄여주고 특정 마법에 대한 면역을 제공합니다.",150 / 200,135 / 120,6 / 12,,니피
다래,전설의 명사수,센티널,민첩,W,바람의 발걸음,20 / 40 / 60초간 투명 상태로 변하며 이동 속도가 10% / 40% / 70% 증가합니다. 적 공격시 추가 피해 100 / 190 / 280을 입히며 투명 상태가 해제됩니다. 투명 상태에서 화염 화살을 습득할 시 투명이 해제되고 마력 75를 돌려받음,70 / 80 / 90,5.5,1 / 3 / 5,,다래/카오스(워크래프트 3/유즈맵)
다래,전설의 명사수,센티널,민첩,R,화염 화살,매 공격마다 20 / 35 / 50 / 65의 화염 공격력을 추가합니다. 오브 기반,2 / 3 / 4 / 4,-,1 / 3 / 5 / 7,,다래/카오스(워크래프트 3/유즈맵)
다래,전설의 명사수,센티널,민첩,패시브,숙련된 활기술,"공격력이 10% / 20% / 30%만큼, 사정거리가 30 / 60 / 90 증가합니다. 공격력은 기본 공격력과 민첩 증가로 추가된 공격력만 비율로 상승",-,1 / 5 / 9,,,다래/카오스(워크래프트 3/유즈맵)
다래,전설의 명사수,센티널,민첩,F,속사,"12초간 공격 속도가 200% 증가하고, 매 공격마다 자신의 최대 체력의 1% / 2%만큼의 마법 피해를 입힙니다.",100 / 120,60,6 / 12,,다래/카오스(워크래프트 3/유즈맵)
두두,"지능영웅으로 사정거리는 450이고 기본 공격속도는 1.7, 기본 이동속도는 310이다.",,중립 ,,포켓 팩토리,"선택한 지점에 4.5당 1개씩 박제 고블린을 자동으로 생산하는 체력 900의 공장을 건설한다. 사정거리 500. 지속시간 40초. 재사용 대기시간 35초. 박제 고블린 - 체력 125, 방어력 1(대형), 공격력 28-29(일반), 공격속도 0.7, 이동속도 270, 체력회복 2(항상). 카붐!을 가지며 공장으로부터 1100 이상 멀어지면 자동으로 파괴된다. 지속시간 20초. 카붐! - 유닛이 사망 시 폭발하여 효과범위 내 적에게 피해를 준다. 효과범위 200. 1레벨 - 카붐!시 60의 피해를 주는 박제 고블린을 생산한다. 마력소모 100. 2레벨 - 카붐!시 80의 피해를 주는 박제 고블린을 생산한다. 마력소모 120. 3레벨 - 카붐!시 100의 피해를 주는 박제 고블린을 생산한다. 마력소모 140. 니바스의 지옥의 문 스킬이 테러에 더 특화된 형태라고 보면된다. 주로 한타교전 중 적의 길목을 막거나 테러에 보조용으로 뽑는다. 이게 은근히 대미지가 잘박혀 시간은 좀 걸릴지라도 클러스터 로켓과 이 스킬만으로도 중보 철거가 가능하다.",,,,,두두/카오스(워크래프트 3/유즈맵)
두두,"지능영웅으로 사정거리는 450이고 기본 공격속도는 1.7, 기본 이동속도는 310이다.",,중립 ,,클러스터 로켓,"채널링 기술. 로켓으로 일정 지역을 포격하여 효과범위 내 적에게 피해를 주며 1초간 기절시킨다. 사정거리 800. 효과범위 250. 재사용 대기시간 6초. 1레벨 - 로켓으로 일정 지역을 포격하여 최대 120의 피해를 준다. 마력소모 70. 2레벨 - 로켓으로 일정 지역을 포격하여 최대 240의 피해를 준다. 마력소모 95. 3레벨 - 로켓으로 일정 지역을 포격하여 최대 360의 피해를 준다. 마력소모 130. 두두의 존재이유 1. 카오스에 몇없는 범위 스턴기중 하나이며 대미지자체도 강력한데, 사기 소리 듣는 이유는 다름 아닌 6초라는 쿨다운. 즉, 악동이 헥스 걸자마자 쓴 후에 헥스 풀 때도 또 쓸 수 있다!! 6렙을 찍은 두두는 탱크로 변신한 후에 이 로켓들을 마구 난사해대기 시작하는데... 만약 두두와 같은 라인에 서있는 영웅이라면... 더 이상의 자세한 설명은 생략한다. 거기에 테러시에도 6초마다 뿜어져 나오는 로켓들은 배럭 농성시에도 상당한 효과를 볼 수 있다.",,,,,두두/카오스(워크래프트 3/유즈맵)
두두,"지능영웅으로 사정거리는 450이고 기본 공격속도는 1.7, 기본 이동속도는 310이다.",,중립 ,,엔지니어링 업그레이드,"패시브 기술. 팅커의 다른 능력을 향상시키며 공격력과 이동속도를 올려준다. 1레벨 - 공격력 +10, 이동속도 +10%. 클러스터 로켓의 효과범위를 300으로 변경. 박제고블린 생산속도를 3.5초로 변경. 로보 고블린의 방어력 +1. 힘 +2. 2레벨 - 공격력 +20, 이동속도 +20%. 클러스터 로켓의 효과범위를 350으로 변경. 박제고블린 생산속도를 2.5초로 변경. 로보 고블린의 방어력 +2. 힘 +4. 3레벨 - 공격력 +30, 이동속도 +30%. 클러스터 로켓의 효과범위를 400으로 변경. 박제고블린 생산속도를 1.5초로 변경. 로보 고블린의 방어력 +3. 힘 +6. 두두의 효능을 극대화 시키기 위한 패시브. 정말 맞춤형 스킬이라 해도 될 정도이다. 이 스킬이 없다면 무슨짓을 해도 두두는 풀이속을 뽑을 수가 없는 데다가 여러 가지 부가로 붙은 효과들이 엄청나게 좋다.",,,,,두두/카오스(워크래프트 3/유즈맵)
두두,"지능영웅으로 사정거리는 450이고 기본 공격속도는 1.7, 기본 이동속도는 310이다.",,중립 ,,로보 고블린,"발동 시 두두가 팅커에서 로보 고블린으로 변형한다. 기계 상태이기 때문에 대부분의 마법에 면역이며, 근접 영웅이기 때문에 기본 체력 +25, 기본 마력 -25, 기본 공격력 +7의 능력치 변경이 있다. 쏜즈 오라와 뱀파이어릭 오라의 영향을 받는다. 로보 고블린 - 사정거리 125, 기본 이동속도 100, 기본 공격속도 1.3, 기본 방어력 +3, 방어력 +1, 힘 +5. 공격 형태가 카오스 타입으로 변경. 1레벨 - 로보 고블린으로 변형한다. 재사용 대기시간 1초. 마력소모 100. 두두의 존재이유 2. 말 그대로 래더의 고블린 팅커처럼 로봇으로 변해버린다. 사실상 걸어다니는 중간보스라고 보면 된다. 즉, 중간보스에게 박히는 마법들은 모두 박히지만 그외의 마법에는 면역이라고 보면된다. 카오스 대미지를 가지지만 이동속도가 완전 조루가 돼 버려 두두가 부엉이+초신속을 강요하게 된다. 이래도 풀이속은 나오지 않으므로 [1] 완벽해지려면 부엉이의 날갯짓을 강화하면 된다. 여담으로 옛버전에는 방어타입이 건물로 변해서 그야말로 모든 스킬(뮤턴트의 좀비에어리어까지!)이 통하지 않는 무시무시한 존재로 변했다.",,,,,두두/카오스(워크래프트 3/유즈맵)
두두,"지능영웅으로 사정거리는 450이고 기본 공격속도는 1.7, 기본 이동속도는 310이다.",,중립 ,,팅커 형태로 복귀,발동 시 두두가 로보 고블린에서 팅커로 변형한다. 로보 고블린시 변경된 능력치가 다시 돌아온다. 1레벨 - 팅커로 변형한다. 재사용 대기시간 1초. 마력소모 100. 로보 고블린으로 변형시 로보 고블린 능력이 팅커 형태로 복귀 능력으로 바뀐다.,,,,,두두/카오스(워크래프트 3/유즈맵)
