monster_idx,chapter,stage_num,monster_name_kr,monster_name_en,face,face_elite,monster_type,monster_base,attack_type,spawn_grade,role,cls,str,agi,int,vit,luck,ldr,cha,innate_skill,weapon_group,wear_slots,size_type,defense,res_fire,res_cold,res_lightning,res_poison,exp_coef,story_kr,story_en,description_kr
1303,1,3,스켈레톤 마법사,Skeleton Mage,1,1,Undead,Skeleton,cold,normal,caster,mage,3,12,8,7,3,4,5,mag_iceblast,orb,weapon|armor|amulet,1,22,0.07,0.25,0.18,0.18,1,"묘지 안쪽에서 푸른 등불 하나가 흔들리며 다가왔다. 등불을 든 것은 후드를 깊게 눌러쓴 해골이었고, 그가 지나간 자리마다 풀잎에 서리가 내려앉았다. 불타는 전장에서 몰려온 병사들은 그 앞에 서자 하얀 입김을 내뿜으며 떨었다.","Deep in the graveyard, a single blue lantern swayed closer. The one carrying it was a skeleton with its hood pulled low, and frost settled on the grass wherever it passed. Soldiers who had come from the burning battlefield stood before it trembling, their breath turning white.",등불을 든 후드 차림의 해골 마법사
1350,1,3,둘라한,Dullahan,1,0,Undead,Skeleton,physical,stage_boss,boss,warrior,10,10,3,10,3,15,5,war_shout,axe,weapon|helmet|armor|gloves|boots|amulet|ring,2,66,0.18,0.18,0.18,0.18,1,"{m:1900|이/가} 이 땅에 떨어지기 훨씬 전, 한 기사가 이 언덕에 묻혔다. 사람들은 그의 무덤에 이름을 새기고 꽃을 올려 두었고, 기사는 오랫동안 조용히 잠들어 있었다.\n전쟁이 시작되고 땅이 피에 젖자, 무덤 속의 기사가 눈을 떴다. 그는 흙을 헤치고 올라와 말뼈를 모아 해골 말을 세웠고, 묘비 옆에 굴러다니던 자신의 머리를 주워 한 손에 들었다. 묘비에 새겨진 이름은 비바람에 닳아 더는 읽을 수 없었다.\n그날부터 기사는 밤마다 해골 말을 타고 묘지를 돈다. 산 자를 만나면 칼을 뽑고, 누군가 그의 이름을 물으면 손에 든 머리가 입을 벌리지만 아무 소리도 나오지 않는다.","Long before {m:1900} fell to this land, a knight was buried on this hill. People carved his name on the grave and left flowers there, and for a long time the knight slept quietly.\nWhen the war began and the ground was soaked in blood, the knight in the grave opened his eyes. He clawed his way up through the earth, gathered horse bones into a skeletal steed, and picked up his own head from beside the gravestone to carry in one hand. The name carved on the stone had worn away in the wind and rain and could no longer be read.\nSince that day the knight has ridden the graveyard every night on his skeletal horse. When he meets the living he draws his sword, and when someone asks his name, the head in his hand opens its mouth, but no sound comes out.",머리 없는 전쟁귀
1401,1,4,화염 광신도,Flame Zealot,0,0,Demon,Imp,fire,normal,caster,mage,3,14,9,7,3,4,5,mag_fireball,orb,weapon|armor|amulet,1,24,0.26,0.07,0.19,0.19,1,임프는 화로 앞에 무릎을 꿇고 제 팔을 불길 속에 밀어 넣었다. 살이 타들어 가는 동안에도 그는 고개를 숙인 채 기도문을 외웠다. 불이 온몸으로 번지자 그는 웃으며 일어나 적진을 향해 달려갔다.,"The imp knelt before the furnace and pushed its own arm into the flames. Even as its flesh burned, it kept its head bowed and recited its prayers. When the fire had spread over its whole body, it rose laughing and ran toward the enemy.",분노를 신앙으로 받아들여 제 몸에 불을 붙인 임프
1402,1,4,임프 제사장,Imp Priest,1,0,Demon,Imp,fire,normal,caster,priest,3,14,9,7,3,4,5,pri_judgment,crucifix,weapon|armor|amulet,2,24,0.26,0.07,0.19,0.19,1,"제사장은 {m:1450}의 화로 옆, 높은 단 위에 서서 두루마리를 펼쳤다. 그가 이름 하나를 읽을 때마다 광신도들이 사람들 사이로 들어가 그 이름의 주인을 끌어냈다. 끌려 나온 자가 울며 옷자락에 매달려도 제사장은 다음 이름을 읽었다.","The priest stood on the high dais beside {m:1450}'s furnace and unrolled a scroll. Each time it read a name, the zealots moved through the crowd and dragged out the one who bore it. Even when the dragged one wept and clung to its robe, the priest read the next name.",누구를 화로에 넣을지 판결하는 몰록 교단의 사제
1403,1,4,청동 수호상,Bronze Guardian,0,0,Demon,Gargoyle,fire,normal,elite_line,knight,11,12,3,14,3,10,5,kni_duel,spear,weapon|armor|helmet|ring,3,53,0.26,0.07,0.19,0.19,1,"신전 문 양옆에는 {m:1450}의 우상과 같은 청동으로 떠낸 수호상이 서 있었다. 한 병사가 그 사이로 몰래 지나가려 하자 수호상의 목이 천천히 돌아갔다. 청동 손이 병사의 어깨를 붙잡았고, 병사가 칼로 아무리 내리쳐도 그 손은 풀리지 않았다.","On either side of the temple gate stood guardians cast from the same bronze as {m:1450}'s idol. When a soldier tried to slip between them, a guardian's head slowly turned. A bronze hand seized the soldier's shoulder, and no matter how hard he hacked at it with his sword, the grip did not loosen.",몰록의 우상과 같은 청동으로 떠낸 신전 문지기 — 누구도 지나가지 못한다
1450,1,4,몰록,Moloch,0,0,Demon,Gargoyle,fire,stage_boss,boss,mage,3,6,10,10,3,15,5,mag_inferno,staff,weapon|helmet|armor|gloves|boots|amulet|ring,3,67,0.26,0.07,0.19,0.19,1,"오래전, 사람들은 청동으로 만든 거대한 우상 앞에 아이들을 데려왔다. 우상의 배 속에서는 불이 타올랐고, 제사장이 이름을 부르면 청동 팔이 천천히 벌어졌다. 우상은 그렇게 바쳐진 아이들로 배를 채우며 긴 세월을 보냈다.\n{m:1900|이/가} 지옥에서 쫓겨나던 날, 우상의 청동 껍데기에 금이 갔다. 그 틈에서 불길에 휩싸인 것이 기어 나와 추락하는 {m:1900}의 뒤를 따랐다. 아무도 그것을 부르지 않았다.\n지금 그것은 {m:1900}에게 이르는 마지막 길목에 화로를 세우고 그 앞을 지킨다. 문 앞에 선 자가 누구든, {m:1450|은/는} 주인의 허락 없이는 한 걸음도 들이지 않는다.","Long ago, people brought their children before a great idol of bronze. A fire burned in its belly, and when the priest called a name, its bronze arms slowly opened. For long ages the idol filled itself with the children offered to it.\nOn the day {m:1900} was cast out of Hell, the idol's bronze shell cracked. Something wrapped in flame crawled out of the crack and followed {m:1900} as he fell. No one had called it.\nNow it has raised a furnace on the last road to {m:1900} and guards it. Whoever stands before the gate, {m:1450} lets no one take a single step further without his master's leave.",사탄의 문지기 — 아이를 태우던 청동 우상을 깨고 나온 불의 심복
1900,1,5,사탄,Satan,1,0,Demon,Gargoyle,fire,chapter_boss,boss,mage,3,6,10,10,3,15,5,mag_frozenwall,staff,weapon|helmet|armor|gloves|boots|amulet|ring,3,67,0.26,0.07,0.19,0.19,1,"지옥의 왕 바알에게는 곁에 두고 아끼는 자가 있었다. {m:1900|은/는} 그자가 바알의 옆자리에 앉는 것을 볼 때마다 이를 갈았다. 어느 날 밤, {m:1900|은/는} 그자를 불러내 등 뒤에서 칼을 꽂았다.\n바알은 그를 옥좌 앞에 끌고 와 무릎 꿇렸다. {m:1900|은/는} 고개를 들고 웃었다. “제가 그놈을 지키는 자였습니까?” 바알은 대답 대신 그를 지옥 밖으로 내던졌다.\n{m:1900|이/가} 떨어진 곳은 인간들의 들판이었다. 그가 땅에 닿은 자리에서 불길이 번졌고, 그 불은 지금까지 한 번도 꺼지지 않았다. 그 들판에서 사람들은 이유도 모른 채 서로를 죽였고, 죽은 자들은 다시 일어나 또 싸웠다.","Baal, King of Hell, kept one at his side whom he cherished. Every time {m:1900} saw that one take the seat beside Baal, he ground his teeth. One night {m:1900} called the favored one out and drove a blade into his back.\nBaal dragged him before the throne and forced him to his knees. {m:1900} raised his head and laughed. “Was I his keeper?” Instead of answering, Baal hurled him out of Hell.\nWhere {m:1900} fell was a field of men. Fire spread from the spot where he struck the ground, and that fire has never once gone out. On that field men killed one another without knowing why, and the dead rose again to fight once more.",분노의 왕 — 가장 먼저 추방된 자
2101,2,1,오크 전사,Orc Warrior,1,1,Demon,Orc,physical,normal,line,warrior,11,9,3,8,3,4,5,war_doubleswing,axe,weapon|armor|helmet,2,50,0.2,0.2,0.2,0.2,1,,,철투구를 쓴 오크 정규병
2102,2,1,오크 궁수,Orc Archer,1,1,Demon,Orc,physical,normal,ranged,archer,3,13,3,6,9,4,5,arc_guided,bow,weapon|armor|gloves,2,40,0.2,0.2,0.2,0.2,1,,,후드를 뒤집어쓴 오크 사수
2103,2,1,오크 주술사,Orc Shaman,1,1,Demon,Orc,poison,normal,caster,priest,3,11,10,7,3,4,5,pri_grace,crucifix,weapon|armor|amulet,2,26,0.2,0.2,0.08,0.28,1,,,짐승 두개골 관을 쓴 오크 주술사
2150,2,1,라합,Rahab,1,0,Demon,Orc,physical,stage_boss,boss,warrior,10,9,3,12,3,15,5,war_battleorders,mace,weapon|helmet|armor|gloves|boots|amulet|ring,3,69,0.2,0.2,0.2,0.2,1,,,잊힌 바다의 군주 — 레비아탄과 같이 불리던 이름
2201,2,2,도마뱀 사냥꾼,Lizardman Hunter,0,0,Normal,Lizardman,physical,normal,skirmish,archer,3,14,3,5,9,4,5,arc_poison,bow,weapon|armor|boots,1,42,0.22,0.22,0.22,0.22,1,,,남의 둥지를 노리는 독화살 사수
2202,2,2,도마뱀 저주사,Lizardman Curser,0,0,Normal,Lizardman,poison,normal,caster,priest,3,12,11,9,3,4,5,pri_bind,crucifix,weapon|armor|amulet,1,25,0.22,0.22,0.09,0.3,1,,,독 주술로 숨을 막는 무리의 주술사
2203,2,2,도마뱀 돌격병,Lizardman Charger,0,0,Normal,Lizardman,physical,normal,heavy,knight,12,10,3,15,3,4,5,kni_might,spear,weapon|armor|helmet|gloves,2,81,0.22,0.22,0.22,0.22,1,,,비대해진 몸으로 밀어붙이는 거대 도마뱀
2250,2,2,아비주,Abyzou,0,0,Normal,Lizardman,physical,stage_boss,boss,archer,3,11,3,10,10,15,5,arc_snipe,crossbow,weapon|helmet|armor|gloves|boots|amulet|ring,2,71,0.22,0.22,0.22,0.22,1,,,시기의 어머니 — 깨어나지 않는 알을 품는 자
2301,2,3,숲마을 시체,Villager Corpse,0,0,Undead,Zombie,physical,normal,line,warrior,10,5,3,14,3,4,5,war_quake,mace,weapon|armor|helmet,2,60,0.23,0.23,0.23,0.23,1,,,뿌리에 삼켜진 마을에서 흙을 헤집고 일어선 시체
2302,2,3,뿌리 시체,Root Corpse,0,0,Undead,Zombie,physical,normal,heavy,knight,11,4,3,18,3,4,5,kni_defiance,sword2h,weapon|armor|helmet|gloves,2,83,0.23,0.23,0.23,0.23,1,,,썩은 뿌리에 얽힌 거대 시체
2303,2,3,이끼에 얽힌 해골,Mossbound Skeleton,0,0,Undead,Skeleton,physical,normal,ranged,archer,3,11,3,7,10,4,5,arc_pierce,bow,weapon|armor|gloves,1,47,0.23,0.23,0.23,0.23,1,,,이끼에 덮인 채 활을 겨누는 해골
2350,2,3,밴시,Banshee,0,0,Undead,Ghost,cold,stage_boss,boss,mage,3,10,10,10,3,15,5,mag_frostnova,staff,weapon|helmet|armor|gloves|boots|amulet|ring,2,73,0.09,0.32,0.23,0.23,1,,,부패한 곡성 — 죽음을 예고하는 울음
2401,2,4,나가 전사,Naga Warrior,0,0,Demon,Naga,physical,normal,line,warrior,10,9,3,10,3,4,5,war_leap,axe,weapon|armor|helmet,2,55,0.24,0.24,0.24,0.24,1,,,레비아탄의 연못을 지키는 뱀족 병사
2402,2,4,나가 주술사,Naga Shaman,0,0,Demon,Naga,poison,normal,caster,priest,3,11,10,7,3,4,5,pri_penitence,bible,weapon|armor|amulet,2,26,0.24,0.24,0.1,0.33,1,,,적의 힘을 빼앗는 뱀족 주술사
2403,2,4,나가 마법사,Naga Mage,0,0,Demon,Naga,poison,normal,caster,mage,3,10,10,9,3,4,5,mag_focus,orb,weapon|armor|amulet,2,26,0.24,0.24,0.1,0.33,1,,,독 안개를 부리는 뱀족 마법사
2450,2,4,베파르,Vepar,0,0,Demon,Succubus,poison,stage_boss,boss,archer,3,11,3,10,10,15,5,arc_multishot,crossbow,weapon|helmet|armor|gloves|boots|amulet|ring,2,74,0.24,0.24,0.1,0.33,1,,,심연의 물을 다스리는 공작 — 상처를 썩게 하는 자
2900,2,5,레비아탄,Leviathan,1,0,Demon,Gargoyle,physical,chapter_boss,boss,warrior,10,5,3,10,3,15,5,war_bash,axe,weapon|helmet|armor|gloves|boots|amulet|ring,3,74,0.24,0.24,0.24,0.24,1,,,시기의 심연에서 올라온 괴물
3101,3,1,사막 도마뱀 약탈자,Desert Lizardman Raider,0,0,Normal,Lizardman,physical,normal,skirmish,archer,3,13,3,4,8,4,5,arc_pierce,bow,weapon|armor|boots,1,40,0.25,0.25,0.25,0.25,1,,,폐허의 보물 사냥꾼
3102,3,1,사막 도마뱀 주술사,Desert Lizardman Shaman,0,0,Normal,Lizardman,poison,normal,caster,priest,3,12,10,4,3,4,5,pri_haste,crucifix,weapon|armor|amulet,1,27,0.25,0.25,0.1,0.35,1,,,모래 마법 원거리
3103,3,1,사암 골렘,Sandstone Golem,0,0,Normal,Golem,physical,normal,heavy,knight,12,3,3,17,3,4,5,kni_charge,sword2h,weapon|armor|helmet|gloves,2,86,0.25,0.25,0.25,0.25,1,,,폐허에서 깨어난 거대 석상
3150,3,1,다곤,Dagon,0,0,Normal,Golem,physical,stage_boss,boss,warrior,10,2,3,10,3,15,5,war_quake,axe,weapon|helmet|armor|gloves|boots|amulet|ring,3,75,0.25,0.25,0.25,0.25,1,,,모래에 묻힌 신 — 반인반어 고대 신
3201,3,2,스켈레톤 전사,Skeleton Warrior,1,1,Undead,Skeleton,physical,normal,line,warrior,7,10,3,8,3,4,5,war_leap,mace,weapon|armor|helmet,1,58,0.27,0.27,0.27,0.27,1,,,묘지 수호 근접 전사
3202,3,2,스켈레톤 궁수,Skeleton Archer,1,1,Undead,Skeleton,physical,normal,ranged,archer,3,11,3,6,8,4,5,arc_snipe,bow,weapon|armor|gloves,1,47,0.27,0.27,0.27,0.27,1,,,지하묘지 함정 지킴이
3203,3,2,스켈레톤 기사,Skeleton Knight,1,1,Undead,Skeleton,physical,normal,elite_line,knight,13,9,3,15,3,10,5,kni_rush,spear,weapon|armor|helmet|ring,2,61,0.27,0.27,0.27,0.27,1,,,지하묘지를 지키는 스켈레톤 기사
3250,3,2,카론,Charon,0,0,Undead,Skeleton,physical,stage_boss,boss,warrior,10,10,3,10,3,15,5,war_taunt,axe,weapon|helmet|armor|gloves|boots|amulet|ring,2,77,0.27,0.27,0.27,0.27,1,,,탐욕의 뱃사공 — 대가 없이는 건너지 못한다
3301,3,3,황금 임프,Golden Imp,0,0,Demon,Imp,fire,normal,caster,mage,3,14,11,7,3,4,5,mag_focus,orb,weapon|armor|amulet,1,28,0.39,0.11,0.28,0.28,1,,,보물고의 마법 수비수
3302,3,3,고블린 약탈병,Goblin Looter,0,0,Demon,Goblin,physical,normal,skirmish,archer,3,14,3,8,8,4,5,arc_rapid,bow,weapon|armor|boots,1,42,0.28,0.28,0.28,0.28,1,,,잔꾀형 보물 약탈자
3303,3,3,고블린 금고지기,Goblin Vaultkeeper,0,0,Demon,Goblin,physical,normal,heavy,knight,11,11,3,14,3,4,5,kni_duel,spear,weapon|armor|helmet|gloves,2,90,0.28,0.28,0.28,0.28,1,,,황금 갑옷의 거대 고블린 대장
3350,3,3,메피스토펠레스,Mephistopheles,0,0,Demon,Gargoyle,physical,stage_boss,boss,warrior,10,5,3,10,3,15,5,war_shout,axe,weapon|helmet|armor|gloves|boots|amulet|ring,3,79,0.28,0.28,0.28,0.28,1,,,황금의 거래자 — 영혼 거래의 아이콘
3401,3,4,황금궁 임프,Palace Imp,0,0,Demon,Imp,fire,normal,caster,mage,3,14,11,7,3,4,5,mag_frozenwall,orb,weapon|armor|amulet,1,29,0.41,0.12,0.3,0.3,1,,,황금궁 회랑을 밝히는 임프 마법사
3402,3,4,금위 고블린,Gilded Guard Goblin,0,0,Demon,Goblin,physical,normal,line,warrior,8,12,3,9,3,4,5,war_battleorders,mace,weapon|armor|helmet,1,60,0.3,0.3,0.3,0.3,1,,,맘몬의 금고를 지키는 정규 위병
3403,3,4,고블린 근위대장,Goblin Guard Captain,0,0,Demon,Goblin,physical,normal,heavy,knight,11,11,3,13,3,4,5,kni_might,spear,weapon|armor|helmet|gloves,2,92,0.3,0.3,0.3,0.3,1,,,황금 근위대를 지휘하는 고블린
3450,3,4,플루토스,Plutus,0,0,Demon,Goblin,physical,stage_boss,boss,warrior,10,10,3,10,3,15,5,war_bash,mace,weapon|helmet|armor|gloves|boots|amulet|ring,2,80,0.3,0.3,0.3,0.3,1,,,탐욕자들의 원을 지키는 자 — 황금궁의 문을 막아선 늑대 악마
3900,3,5,맘몬,Mammon,0,0,Demon,Gargoyle,physical,chapter_boss,boss,warrior,10,5,3,10,3,15,5,war_leap,axe,weapon|helmet|armor|gloves|boots|amulet|ring,3,80,0.3,0.3,0.3,0.3,1,,,탐욕의 왕 — 황금 왕국의 지배자
4101,4,1,서리 원혼,Frost Wraith,0,0,Undead,Ghost,cold,normal,caster,mage,3,10,9,2,3,4,5,mag_iceblast,orb,weapon|armor|amulet,1,29,0.12,0.42,0.3,0.3,1,,,냉기 마법의 얼어붙은 영혼
4102,4,1,동결 곡성귀,Frozen Wailer,0,0,Undead,Ghost,cold,normal,caster,mage,3,10,9,2,3,4,5,mag_frostnova,orb,weapon|armor|amulet,1,29,0.12,0.42,0.3,0.3,1,,,빙결 저주 디버프형
4103,4,1,빙결 좀비,Frostbitten Zombie,0,0,Undead,Zombie,physical,normal,heavy,knight,11,4,3,18,3,4,5,kni_fanaticism,sword2h,weapon|armor|helmet|gloves,2,93,0.3,0.3,0.3,0.3,1,,,얼음에 묻혀있던 거대 시체
4150,4,1,유키온나,Yuki-onna,0,0,Undead,Ghost,cold,stage_boss,boss,mage,3,10,10,10,3,15,5,mag_focus,staff,weapon|helmet|armor|gloves|boots|amulet|ring,2,81,0.12,0.42,0.3,0.3,1,,,동토의 설녀 — 눈보라 속 유령 여인
4201,4,2,서리 고블린 병사,Frost Goblin Soldier,0,0,Demon,Goblin,physical,normal,line,warrior,8,12,3,9,3,4,5,war_quake,mace,weapon|armor|helmet,1,62,0.32,0.32,0.32,0.32,1,,,빙하 요새 경비병
4202,4,2,얼음 임프,Ice Imp,0,0,Demon,Imp,cold,normal,caster,mage,3,14,11,7,3,4,5,mag_frozenwall,orb,weapon|armor|amulet,1,30,0.13,0.44,0.32,0.32,1,,,냉기 마법 원거리
4203,4,2,고블린 빙하대장,Goblin Glacier Chief,0,0,Demon,Goblin,physical,normal,heavy,knight,11,11,3,13,3,4,5,kni_defiance,spear,weapon|armor|helmet|gloves,2,95,0.32,0.32,0.32,0.32,1,,,얼음 갑옷의 거대 고블린 대장
