node_id,tree_kind,owner_id,tier,stat,name_kr,name_en,value_key,max_rank_key,unlock_key,requires,description_kr
cls_priest_t1_cdr,class,priest,1,cooldown_reduction,쿨타임 감소,Cooldown Reduction,mastery_priest_t1_cdr_pct,mastery_t1_max_rank,-,-,사제 T1-2 — 액티브 쿨타임 감소. ⚠ 나태 T2-3 과 2중 스택 (skill_design §3-4)
cls_priest_t1_buffdur,class,priest,1,buff_dur_pct,버프 지속시간,Buff Duration,mastery_priest_t1_buffdur_pct,mastery_t1_max_rank,-,-,사제 T1-3 — 버프 지속시간 +%. 사제의 고유 칸 · 반지 · 목걸이 공통옵션과 같은 채널 (skill_design §3-4 · 09-22)
cls_archer_t1_atkspeed,class,archer,1,aspd_pct,공격 속도,Attack Speed,mastery_archer_t1_atkspeed_pct,mastery_t1_max_rank,-,-,궁수 T1-1 — 행동 주기 감소 % (skill_design §3-4 · 09-22)
cls_archer_t1_critchance,class,archer,1,crit_rate,치명타 확률,Critical Chance,mastery_archer_t1_critchance_pct,mastery_t1_max_rank,-,-,궁수 T1-2 — 치명타 확률. ⚠ 분노 T2-2 와 2중 스택 (skill_design §3-4)
cls_archer_t1_hitbonus,class,archer,1,hit_bonus,명중률,Hit Chance,mastery_archer_t1_hitbonus_pct,mastery_t1_max_rank,-,-,궁수 T1-3 — 명중률. 레벨 차 적중률에 더한다 · 궁수의 고유 칸 (skill_design §3-4 · battle_design §9-4 · 09-22)
cls_t2_weapon_damage,class,*,2,atk_pct,{group} 마스터리,{group} Mastery,mastery_t2_weapon_damage_pct,mastery_t1_max_rank,mastery_t2_unlock_level,weapon:mace|spear|orb|crucifix|bow,직업 T2-1 — 데미지 %. 5직업 공통 · 빠른 무기를 들었을 때만 (skill_design §3-5 · 09-22)
cls_t2_weapon_atkspeed,class,*,2,aspd_pct,{group} 마스터리,{group} Mastery,mastery_t2_weapon_atkspeed_pct,mastery_t1_max_rank,mastery_t2_unlock_level,weapon:axe|sword2h|staff|bible|crossbow,직업 T2-2 — 공격 속도. 5직업 공통 · 느린 무기를 들었을 때만 (skill_design §3-5)
cls_warrior_t2_heavy,class,warrior,2,aspd_pct,중갑 마스터리,Heavy Armor Mastery,mastery_heavy_t2_atkspeed_pct,mastery_t1_max_rank,mastery_t2_unlock_level,armor:heavy,전사 T2-3 — 중갑 마스터리(공격 속도). 갑옷 칸이 중갑일 때만 (skill_design §3-5 · §3-6 · 09-22)
cls_knight_t2_heavy,class,knight,2,aspd_pct,중갑 마스터리,Heavy Armor Mastery,mastery_heavy_t2_atkspeed_pct,mastery_t1_max_rank,mastery_t2_unlock_level,armor:heavy,기사 T2-3 — 중갑 마스터리(공격 속도). 갑옷 칸이 중갑일 때만 (skill_design §3-5 · §3-6 · 09-22)
cls_mage_t2_robe,class,mage,2,def_flat,로브 마스터리,Robe Mastery,mastery_robe_t2_def_flat,mastery_t1_max_rank,mastery_t2_unlock_level,armor:robe,마법사 T2-3 — 로브 마스터리(방어력). 갑옷 칸이 로브일 때만 (skill_design §3-5 · §3-6 · 09-22)
cls_priest_t2_robe,class,priest,2,def_flat,로브 마스터리,Robe Mastery,mastery_robe_t2_def_flat,mastery_t1_max_rank,mastery_t2_unlock_level,armor:robe,사제 T2-3 — 로브 마스터리(방어력). 갑옷 칸이 로브일 때만 (skill_design §3-5 · §3-6 · 09-22)
cls_archer_t2_light,class,archer,2,hp_pct,경갑 마스터리,Light Armor Mastery,mastery_light_t2_hp_pct,mastery_t1_max_rank,mastery_t2_unlock_level,armor:light,궁수 T2-3 — 경갑 마스터리(체력). 갑옷 칸이 경갑일 때만 (skill_design §3-5 · §3-6 · 09-22)
