key,value,status,knob,description_kr
hero_level_cap,70,fixed,0,영웅 레벨 상한 = **7장 끝** — 챕터 하나가 10레벨이다 [2026-09-14 사용자 확정 · story_chapter_design §2 · hero_design §5 · R88]. 상한에 닿으면 XP 를 더 쌓지 않는다. 몬스터 레벨(stage.csv:dlvl)도 이 값을 넘지 않는다 — HP 구간 키(hero_hp_band{b}_unit)가 만렙까지만 있다. 무릎(5장 끝) 이후의 느린 곡선은 미반영 — 레벨업 필요 XP 식은 그대로 쓴다(사용자 09-14) (2026-08-30 발행 · 2026-09-14 50 → 70)
hero_attr_min,1,fixed,0,영웅 기본 능력치 최소값 — 7종 공통 (2026-08-22 확정)
hero_attr_max,20,fixed,0,영웅 기본 능력치 최대값 — **전 영웅 공통 상한 하나**다. ~~히든 상한선은 이 값 이하에서 개체별로 굴림~~ 은 2026-09-07 폐지(rollCaps 삭제 · 세이브 v15) — 개체차는 시작 굴림(등급별 총합 대역 + 분포 모양 · hero_tier.csv)이 만들고 상한이 만들지 않는다. ~~「등급은 출발선이지 천장이 아니다」~~ → 2026-09-14 레벨업 능력치 성장 폐지로 **시작 굴림이 닿는 끝**이다 (hero_design §4-3) (2026-08-22 확정)
attr_equip_bonus,0,fixed,0,장비·접사가 기본 능력치에 기여하는 값 — 0 고정. 이 불변식이 개체차와 파견 배치 결정을 지킨다 (2026-08-22 확정)
attr_bonus_per_point,0.01,proposed,0,기본 능력치 1점당 대응 전투 능력치 보정(%) — 만점 20점 기준 최대 +20%. 초안값 (2026-08-22)
power_growth_per_level,1.06,proposed,1,**성장 SSOT** — 레벨/ilvl 1당 곱해지는 성장률. 챕터당 약 x2.3 — round_budget.time_target_sec(일반 라운드 20초)를 28개 스테이지 전부에서 만족시키는 값으로 **역산**했다 (R2 0.95). 이 곡선을 타는 것: 무기 데미지 · ~~영웅 최대 HP~~(2026-09-14 구간 직선으로 분리 · R84) · 데미지/HP flat 접사. ⚠ 무기는 HP 구간에 맞춰 다시 정한다 (GAME_DESIGN §10). 타지 않는 것: 방어 · 저항(비율 축) · % 접사 · 치명 · 공속 (battle_design §9-3) (2026-08-26 수치 대역 재설계)
hero_hp_base,100,proposed,1,영웅 레벨 1 최대 HP — 전 영웅 공통 고정. ~~이후 hp = base x power_growth_per_level ^ (level-1) + 장비 (기본 능력치와 무관)~~ → 2026-09-14 레벨 성장은 hero_hp_band{b}_unit 구간 직선의 누적합 × 건강 계수다 (hero_design §4-1 · R84) (2026-08-31 사용자 지시로 230→100 환원. 230 은 2026-08-27 캘리브레이션이 101/102 목표 승률에서 역산한 값이었고 그때는 monster_atk_scale 이 0.1 이었다 — 08-31 에 그 손잡이가 0.2 로 올라간 뒤라 생존 대역이 두 번 깎인다)
hero_hp_band_levels,10,fixed,0,영웅 최대 HP 레벨 구간 폭 [2026-09-14 사용자 확정 · hero_design §4-1 · R84] — 레벨 n 으로 오를 때의 구간 = floor((n−1)/이 값)+1 · 레벨 1 은 바탕값(hero_hp_base)이라 첫 구간은 레벨업 9회 · 구간 단위 키(hero_hp_band{b}_unit)가 만렙(hero_level_cap)까지 덮지 않으면 hero.js 가 생성 때 던진다
hero_hp_band1_unit,8,proposed,1,HP 구간 1(레벨 2~10)의 레벨업 1회 상승 단위 — 건강 계수 1.0 기준이고 실제 상승분 = 단위 × 건강 계수(hero_attribute.csv:vit) · 구간 1~5 값은 R82 곱셈 곡선의 체력에 맞춘 ⚠제안이다 (2026-09-14 · R84)
hero_hp_band2_unit,14,proposed,1,HP 구간 2(레벨 11~20)의 레벨업 1회 상승 단위 — 건강 계수 1.0 기준 (2026-09-14 · R84)
hero_hp_band3_unit,26,proposed,1,HP 구간 3(레벨 21~30)의 레벨업 1회 상승 단위 — 건강 계수 1.0 기준 (2026-09-14 · R84)
hero_hp_band4_unit,48,proposed,1,HP 구간 4(레벨 31~40)의 레벨업 1회 상승 단위 — 건강 계수 1.0 기준 (2026-09-14 · R84)
hero_hp_band5_unit,86,proposed,1,HP 구간 5(레벨 41~50)의 레벨업 1회 상승 단위 — 건강 계수 1.0 기준 (2026-09-14 · R84)
hero_hp_band6_unit,86,proposed,1,HP 구간 6(레벨 51~60)의 레벨업 1회 상승 단위 — 건강 계수 1.0 기준 · **41~50 과 같은 값을 잇는다** — 건강 20 영웅의 레벨 70 최대 HP 가 약 4,300 (R84 논의에서 확정한 표 · 사용자 09-14) (2026-09-14 · R88)
hero_hp_band7_unit,86,proposed,1,HP 구간 7(레벨 61~70)의 레벨업 1회 상승 단위 — 건강 계수 1.0 기준 · 구간 6 과 같다 (2026-09-14 · R88)
hp_regen_base_per_level,0.05,proposed,1,**HP 재생 밑수** — 전 영웅이 갖는 레벨 1 초당 회복. 이후 base x power_growth_per_level ^ (level-1) 로 성장 축(기하)을 탄다 — 안 태우면 밑수만 선형으로 자라 후반에 무의미해진다. 그 위에 장비 접사·마스터리가 더해진다 — ~~마지막에 건강 계수가 곱해진다~~ 2026-09-10 폐기 · R72 (battle_design §8 · hero_design §4-1). 「장비가 0이면 능력치도 0」의 유일한 예외 — 밑수는 세기가 아니라 생존의 바닥이라 hero_hp_base 와 같은 분류다. ⚠제안 — 구조만 확정(2026-09-07)이고 값·곡선은 미정이다 (GAME_DESIGN §10). 가드: **밑수 x 파티 인원이 몬스터 DPS 를 넘으면 안 된다** — 넘으면 전멸이 오지 않아 「출정을 끊는 것은 전멸」(§9 09-07)이 무력화된다 (2026-09-08 R43 발행)
start_gold,300,proposed,0,새 게임 시작 골드 (2026-08-25 초반 루프 구현하면서 발생)
start_dust,0,proposed,0,새 게임 시작 몬스터 가루 (2026-08-25 초반 루프 구현하면서 발생)
start_stigma,0,proposed,0,새 게임 시작 낙인 (2026-08-25 초반 루프 구현하면서 발생)
hero_xp_base,600,proposed,0,레벨업 필요 XP 기준값 — xp_next = hero_xp_base × level ^ hero_xp_exp (2026-08-25 초반 루프 구현하면서 발생) (2026-09-22 사용자 「일단」 80→1200 — xp_rate 0.5→1 과 함께 필요량 7.5배 · 목표 「가장 빨라도 사탄(1-5)까지 1시간」 · hit_per_level_deficit_pct · hit_min_pct 와 한 묶음 · 시뮬 100시드 최소 57분 · 중앙 1시간 53분) (2026-09-25 사용자 1200→600 — 필요량 절반)
hero_xp_exp,1.4,proposed,0,레벨업 필요 XP 지수 (2026-08-25 초반 루프 구현하면서 발생)
attr_growth_chance_pct,0.35,proposed,0,⚠ **퇴역 — 코드가 안 읽는다** · 기본 능력치 자동 성장은 2026-09-14 폐지(R83 · hero_design §4-3) · 옛 뜻: 레벨업 시 축별 +1 확률(%) (2026-08-25 초반 루프 구현하면서 발생)
xp_rate,1,proposed,1,전투 XP 합 → 영웅 각자 지급 배율 (그 라운드를 이긴 순간 살아 있는 영웅만 — 2026-09-14 R89 · ~~전원 동일 지급~~) (2026-08-25 초반 루프 구현하면서 발생) (2026-09-22 사용자 「1배율 기준」 0.5→1 — 레벨 속도는 hero_xp_base 가 맡는다)
monster_xp_base,40,proposed,1,처치 XP 의 레벨 1 기준값 — 처치 XP = monster_xp_base × monster_xp_growth ^ (몬스터 레벨 − 1) × spawn_grade.exp_mult × monster.csv:exp_coef. 몬스터 레벨 = stage.csv:dlvl 이라 레벨과 등급이 같으면 몬스터가 달라도 XP 가 같다 · 골드도 이 값에서 나온다 (monster_design §7 · DEV_PLAN R85) (2026-09-14 발행)
monster_xp_growth,1.06,proposed,1,처치 XP 의 레벨당 배율 — 몬스터 레벨이 1 오르면 이만큼 곱한다. power_growth_per_level 과 같은 값에서 시작했다(몬스터가 약한 만큼 XP 도 적어 낮은 스테이지를 돌 이득이 없다) · 키는 따로다 (2026-09-14 발행)
unarmed_atk,1.5,proposed,0,무기 없을 때 기본 데미지 (2026-08-25 초반 루프 구현하면서 발생)
unarmed_period,2.6,proposed,0,무기 없을 때 행동 주기(초) (2026-08-25 초반 루프 구현하면서 발생) (2026-09-25 사용자 「공격속도 절반」 — 전 무기 주기 ×2 에 맞춰 1.3 → 2.6 · 안 올리면 맨손이 모든 무기보다 빨라진다)
weapon_atk_base,3.34,proposed,1,무기 피해 범위의 **가운데** — 가운데 = base x power_growth_per_level ^ (ilvl-1) · 양끝 = 가운데 x (1 ∓ 타격 범위 폭) x 강화 배율(정수 반올림) · ~~x 개체 편차~~ 2026-09-14 폐지(R90 — 직격마다 범위를 굴린다). **밑수다** — 다른 슬롯의 고정 데미지를 여기 더하지 않는다 (battle_design §9-1) (2026-09-01 한손 개념 폐지 — 폐기한 two_hand_atk_mult 1.45 를 흡수해 2.3 → 3.34. 이제 전 무기가 양손이라 배율이 전역 상수가 됐다) (2026-08-26 수치 대역 재설계)
weapon_atk_band_levels,10,fixed,0,무기 피해 구간 폭(레벨) [2026-09-15 사용자 확정 · R105] — 구간 b = floor((ilvl−1)/이 값)+1 · 체력(hero_hp_band_levels)과 같은 폭이다
weapon_atk_band1_unit,0.35,proposed,1,무기 피해 가운데의 구간 1 레벨업 1회 상승분 ⚠제안 — 레벨 1 처치 타수를 전 구간 유지하도록 역산(체력 구간 단위 × 몬스터 건강 계수 × weapon_atk_base/monster_hp_base) (2026-09-16)
weapon_atk_band2_unit,0.62,proposed,1,무기 피해 가운데의 구간 2 레벨업 1회 상승분 ⚠제안 — 레벨 1 처치 타수를 전 구간 유지하도록 역산(체력 구간 단위 × 몬스터 건강 계수 × weapon_atk_base/monster_hp_base) (2026-09-16)
weapon_atk_band3_unit,1.15,proposed,1,무기 피해 가운데의 구간 3 레벨업 1회 상승분 ⚠제안 — 레벨 1 처치 타수를 전 구간 유지하도록 역산(체력 구간 단위 × 몬스터 건강 계수 × weapon_atk_base/monster_hp_base) (2026-09-16)
weapon_atk_band4_unit,2.12,proposed,1,무기 피해 가운데의 구간 4 레벨업 1회 상승분 ⚠제안 — 레벨 1 처치 타수를 전 구간 유지하도록 역산(체력 구간 단위 × 몬스터 건강 계수 × weapon_atk_base/monster_hp_base) (2026-09-16)
weapon_atk_band5_unit,3.79,proposed,1,무기 피해 가운데의 구간 5 레벨업 1회 상승분 ⚠제안 — 레벨 1 처치 타수를 전 구간 유지하도록 역산(체력 구간 단위 × 몬스터 건강 계수 × weapon_atk_base/monster_hp_base) · 5~8 구간은 같은 값을 잇는다(체력 구간 단위가 41레벨부터 평평한 것과 같은 모양) (2026-09-16)
weapon_atk_band6_unit,3.79,proposed,1,무기 피해 가운데의 구간 6 레벨업 1회 상승분 ⚠제안 — 레벨 1 처치 타수를 전 구간 유지하도록 역산(체력 구간 단위 × 몬스터 건강 계수 × weapon_atk_base/monster_hp_base) (2026-09-16)
weapon_atk_band7_unit,3.79,proposed,1,무기 피해 가운데의 구간 7 레벨업 1회 상승분 ⚠제안 — 레벨 1 처치 타수를 전 구간 유지하도록 역산(체력 구간 단위 × 몬스터 건강 계수 × weapon_atk_base/monster_hp_base) (2026-09-16)
weapon_atk_band8_unit,3.79,proposed,1,무기 피해 가운데의 구간 8 레벨업 1회 상승분 ⚠제안 — 레벨 1 처치 타수를 전 구간 유지하도록 역산(체력 구간 단위 × 몬스터 건강 계수 × weapon_atk_base/monster_hp_base) · 구간 8 은 강화·등급 보정으로 ilvl 이 만렙(70)을 넘는 자리(spawn_grade.gear_ilvl_add)를 받는다 (2026-09-16)
armor_def_l1,5,proposed,1,방어구 **부위 기준** 고유 방어력의 레벨 1 값 [2026-09-16 사용자 확정] — 여기에 부위 배수(armor_def_slot_*)와 갑옷군 배수(armor_group.csv:def_mult)가 곱해진다. ~~armor_def_base 9.5 + armor_def_per_ilvl~~ 을 대체한다(선형 → 10레벨 구간 직선)
armor_def_band_levels,10,fixed,0,방어구 고유 방어력 구간 폭(레벨) [2026-09-16 사용자 확정] — 무기·체력과 같은 10레벨
armor_def_band1_unit,0.2,proposed,1,방어구 부위 기준 방어력의 구간 1 레벨업 1회 상승분 ⚠제안 — ilvl 1 에서 5 · ilvl 50 에서 50 이 되도록 잡았다(체력 구간 단위 × 0.0248) (2026-09-16)
armor_def_band2_unit,0.35,proposed,1,방어구 부위 기준 방어력의 구간 2 레벨업 1회 상승분 ⚠제안 — ilvl 1 에서 5 · ilvl 50 에서 50 이 되도록 잡았다(체력 구간 단위 × 0.0248) (2026-09-16)
armor_def_band3_unit,0.65,proposed,1,방어구 부위 기준 방어력의 구간 3 레벨업 1회 상승분 ⚠제안 — ilvl 1 에서 5 · ilvl 50 에서 50 이 되도록 잡았다(체력 구간 단위 × 0.0248) (2026-09-16)
armor_def_band4_unit,1.2,proposed,1,방어구 부위 기준 방어력의 구간 4 레벨업 1회 상승분 ⚠제안 — ilvl 1 에서 5 · ilvl 50 에서 50 이 되도록 잡았다(체력 구간 단위 × 0.0248) (2026-09-16)
armor_def_band5_unit,2.15,proposed,1,방어구 부위 기준 방어력의 구간 5 레벨업 1회 상승분 ⚠제안 — ilvl 1 에서 5 · ilvl 50 에서 50 이 되도록 잡았다(체력 구간 단위 × 0.0248) · 5~8 구간은 같은 값을 잇는다 (2026-09-16)
armor_def_band6_unit,2.15,proposed,1,방어구 부위 기준 방어력의 구간 6 레벨업 1회 상승분 ⚠제안 — ilvl 1 에서 5 · ilvl 50 에서 50 이 되도록 잡았다(체력 구간 단위 × 0.0248) (2026-09-16)
armor_def_band7_unit,2.15,proposed,1,방어구 부위 기준 방어력의 구간 7 레벨업 1회 상승분 ⚠제안 — ilvl 1 에서 5 · ilvl 50 에서 50 이 되도록 잡았다(체력 구간 단위 × 0.0248) (2026-09-16)
armor_def_band8_unit,2.15,proposed,1,방어구 부위 기준 방어력의 구간 8 레벨업 1회 상승분 ⚠제안 — ilvl 1 에서 5 · ilvl 50 에서 50 이 되도록 잡았다(체력 구간 단위 × 0.0248) · 구간 8 은 ilvl 이 만렙을 넘는 자리를 받는다 (2026-09-16)
armor_def_slot_armor,2.0,proposed,1,부위 배수 — 갑옷 [2026-09-16 사용자 확정] — 갑옷군 마스터리가 걸리는 유일한 칸이라 가장 큰 몫. ilvl 50 에서 100
armor_def_slot_helmet,1.0,proposed,1,부위 배수 — 투구. 기준 부위다. ilvl 50 에서 50
armor_def_slot_gloves,0.6,proposed,1,부위 배수 — 장갑. 방어 무시·공속이 붙는 칸이라 방어 몫은 작게. ilvl 50 에서 30
armor_def_slot_boots,0.6,proposed,1,부위 배수 — 신발. 장갑과 같다. ilvl 50 에서 30
base_crit_pct,0.05,proposed,0,기본 치명타 확률(%) — 기본 능력치 보정 없음 (combat_stat.csv) (2026-08-25 초반 루프 구현하면서 발생)
base_crit_damage_pct,1.5,proposed,0,기본 치명타 피해(%) (2026-08-25 초반 루프 구현하면서 발생)
dmg_variance_pct,0.15,proposed,0,**타격 범위 폭** 기본값(±%) [뜻 이동 2026-09-14 · R90] — 무기 피해 범위의 양끝 = 가운데 x (1 ∓ 폭) · 직격마다 그 사이를 굴린다. 무기군 값이 있으면 weapon_group.csv:variance_pct 가 우선 (battle_design §9-1). ~~무기 개체 편차 — 드롭 때 한 번 굴려 개체 데미지에 박는다~~ 폐지 (2026-08-26 수치 대역 재설계)
def_curve_k,100,proposed,1,물리 감쇠 곡선 상수 — 감쇠율 = 방어값/(방어값+K). **상수다**(롤 방식). 뜻은 — 감쇠가 정확히 50%가 되는 방어값. 실효 체력 = HP x (1 + 방어/K) 라 방어 1점의 가치가 항상 같다. 레벨 앵커(K = k x 공격자 레벨)는 폐기 (battle_design §9-3) (2026-08-26 수치 대역 재설계)
monster_def_scale,1.0,proposed,1,몬스터 **물리 방어** 전역 배율 — 소재값 x spawn_grade.def_mult 위에 곱한다. 원소 저항은 직접 %라 이 배율을 받지 않는다 (등급 가산은 spawn_grade.res_add) (2026-08-26 수치 대역 재설계)
dmg_min,1,proposed,0,최종 피해 하한 — 감쇠 뒤에도 이만큼은 들어간다 (battle_design §9-3) (2026-08-26 피해 공식 확정하면서 발생)
crit_cap_pct,0.75,proposed,0,치명타 확률 상한(%) — 접사 중첩이 전타 치명이 되는 것을 막는다 (battle_design §9-2) (2026-08-26 피해 공식 확정하면서 발생)
attr_dmg_pivot,10,fixed,1,능력치 계수의 **기준 능력치** — 이 값에서 계수가 1 이다(정해진 데미지) [2026-09-18 사용자 확정 · battle_design §9-2] — 평타는 직업 메인 스탯 · 스킬은 데미지 슬롯이 적은 능력치 · 회복량 · 소환 HP 도 같다 · 몬스터도 같다(2026-09-22 사용자 — 보류 해제)
attr_dmg_step_pct,0.1,fixed,1,능력치 계수의 **1점당 복리 비율**(0.1 = 10%) [2026-09-18 사용자 확정 · battle_design §9-2] — 계수 = (1 + 이 값) ^ (능력치 − attr_dmg_pivot) · 20 이면 약 2.59배 · 1 이면 약 0.42배 · 0 에 닿지 않는다
skill_dps_budget_pct,0.2,proposed,1,액티브 스킬 하나의 목표 DPS 기여(%) — 기여 = (스킬 배율 − 1) ÷ N · N = ceil(표기 쿨 ÷ 행동 주기). 버프는 (지속 ÷ 실효 쿨) × 효과% − 1÷N 으로 같은 자에 맞춘다. skill.csv 14행이 이 값에서 역산됐다 (skill_design §9-1) (2026-08-26 전직 액티브 15 발행하면서 발생)
res_cap_base,0.75,proposed,1,원소 저항 기본 상한(%) — 저항은 소재값이 아니라 직접 %다. 이 상한은 최대 저항 증가 접사로만 뚫는다 (battle_design §9-5) (2026-08-26 수치 대역 재설계)
res_cap_absolute,0.95,proposed,1,원소 저항 절대 상한(%) — 최대 저항 증가를 아무리 쌓아도 이 값을 넘지 못한다. 면역 차단 (2026-08-26 수치 대역 재설계)
stagger_hp_pct,0.05,proposed,1,물리 경직 문턱(**비율** — 0.05 = 5%) [2026-09-16 사용자 확정 · battle_design §2-3] — 한 번의 물리 직격(기본 공격 · 스킬 타격)으로 **실제로 깎인 체력**이 최대 체력의 이 비율 이상이면 경직. 방어 · 피해 감소 뒤 · 보호막 흡수분 제외 · 영웅 ↔ 몬스터 같은 규칙 · 반사 · 지속 피해는 걸지 않는다
stagger_sec,0.5,proposed,1,물리 경직 시간(초) [2026-09-16 사용자 확정 · battle_design §2-3] — 고정(피해에 비례하지 않는다) · 행동 차례만 멈추고 스킬 쿨은 계속 돈다 · 경직 중 다시 걸리면 시간만 새로 시작(더하지 않는다) · 타격 회복(fhr)이 %로 줄인다
hit_base_pct,1,proposed,1,적중률 기준(%) — 공격자 레벨이 방어자 레벨 이상이면 이 값. 오버레벨 초과 이득 없음 (battle_design §9-4) (2026-08-26 수치 대역 재설계)
hit_per_level_deficit_pct,0.05,fixed,1,레벨 1 부족당 적중률 감소(%p) — 적중률 = clamp(hit_base_pct - 부족레벨 x 이 값) 을 hit_min_pct ~ hit_base_pct 로 자른다 (2026-08-26 수치 대역 재설계) (2026-09-22 사용자 확정 0.05 — 같은 날 0.04→0.2 를 거쳐 「5%로」 · 영웅·몬스터 양쪽에 같이 걸린다)
hit_min_pct,0.3,fixed,1,적중률 하한(%) — 레벨이 아무리 모자라도 이만큼은 맞는다. 0이면 영원히 못 넘는 벽이 되고 너무 높으면 게이트가 안 걸린다. (명중/회피 폐지로 hit_floor_pct 를 대체 — 의미가 다르므로 키를 새로 만들었다) (2026-08-26 수치 대역 재설계) (2026-09-22 사용자 확정 0.3 — 같은 날 0.05 를 거쳐 되돌렸다)
monster_hp_base,50,proposed,1,몬스터 레벨 1 최대 HP 바탕 — 영웅의 hero_hp_base 자리를 몬스터에서 대신한다 [2026-09-14 사용자 지시 · 영웅 100 / 몬스터 50 · R91 → 2026-09-22 사용자 지시 「일단」 50→100 → 2026-09-23 사용자 지시 100→50 · 캘리브레이션 재측정 안 함]. 그 위에 레벨 성장분(hero_hp_band{b}_unit 누적합 × 건강 계수)과 장비 HP 가 더해지고 등급 배율(spawn_grade.csv:hp_mult)과 monster_hp_scale 이 곱해진다 — 식은 영웅과 같은 함수다(hero.js computeCombat 의 hpBase 입력)
monster_hp_scale,1.0,proposed,1,몬스터 HP 전역 배율 — 소재값 x 등급배율 위에 곱한다 (라운드 소요를 round_budget.time_target_sec 에 맞추는 주 손잡이) (2026-08-27 캘리브레이션 — 2.4→1.0 · 킬 속도가 라운드 목표 시간보다 한참 느렸다)
monster_atk_scale,0.5,proposed,1,몬스터 데미지 전역 배율 (캘리브레이션 손잡이) (2026-09-24 사용자 1→0.5 · 캘리브레이션 재측정 전) (2026-09-22 사용자 「일단 1」 0.2→1 — 몬스터 전투 계수를 영웅과 똑같이 · 같은 날 능력치 계수 보류 해제와 한 묶음 · 캘리브레이션 재측정 전) (2026-08-31 재보정 — 0.1→0.2 · 101~103 이 전부 승률 100% 로 목표 대역을 위로 벗어나 있었다. 승률이 100% 인 원인은 킬 속도가 아니라 **파티가 안 죽는 것**이었으므로(101~103 의 avg downed 가 0.00) 데미지 축으로 잡았다. 0.25 는 102 를 20% 로 0.3 은 0% 로 떨어뜨려 대역 아래로 지나친다 · monster_hp_scale 과 hero_hp_base 는 안 건드렸다 — 같은 축을 두 손잡이로 동시에 돌리면 어느 쪽이 효과를 냈는지 못 읽는다) (2026-08-27 캘리브레이션 — 0.25→0.1 · dmg_min 바닥에 깔릴 정도로 더 내리면 등급별 데미지 차이가 무의미해진다)
battle_timeout_sec,600,proposed,0,전투 제한시간(초) — 넘으면 `timeout` 으로 끝난다(이긴 것이 아니다 · ~~철수 처리~~ — 철수는 플레이어 행동 · R89) (2026-08-25 초반 루프 구현하면서 발생)
gold_rate,0.3,proposed,1,처치 골드 = 처치 XP(monster_xp_base 곡선 × exp_mult × exp_coef) × gold_mult × gold_rate — ~~exp_reward~~ 는 2026-09-14 R85 로 exp_coef 가 됐다 (2026-08-25 초반 루프 구현하면서 발생)
drop_chance_pct,0.09,proposed,0,드롭 판정 1회의 기본 성공 확률(%) — 등급 배율은 spawn_grade.drop_chance_mult · 처치당 최대 1개 (item_design §1) (2026-08-25 초반 루프 구현하면서 발생 · 2026-08-28 판정 1회로 개정)
boss_guaranteed_drop,1,proposed,0,보스 처치 시 최소 드롭 개수 (2026-08-25 초반 루프 구현하면서 발생)
rarity_w_normal,60,proposed,0,드롭 희귀도 가중치 — **일반** [신설 2026-09-14 사용자 지시 · item_design §1 · R86] — 훑는 순서는 일반 → 매직 → 레어 · 매직아이템 획득확률은 레어 가중치에만 곱한다(일반·매직은 그대로)
rarity_w_magic,30,proposed,0,드롭 희귀도 가중치 — 매직 (2026-08-25 초반 루프 구현하면서 발생 · 2026-09-14 사용자 지시 ~~78~~ → 30)
rarity_w_rare,10,proposed,0,드롭 희귀도 가중치 — 레어 (크래프트·유니크는 드롭 미연결) (2026-08-25 초반 루프 구현하면서 발생 · 2026-09-14 사용자 지시 ~~22~~ → 10)
weapon_common_opt_normal,2,proposed,0,무기 통합옵션 개수 — 일반 (고정 1 + 죄종 칸 0 + 이 수 · 매직과 같은 수로 시작) (2026-09-14 사용자 확정 · item_design §1 · R86)
weapon_common_opt_magic,2,proposed,0,무기 통합옵션 개수 — 매직 (고정 1 + 죄종 칸 1 + 이 수 · 무기는 affix_* 키를 안 쓴다) (2026-09-11 사용자 지시 · item_design §1 「무기 옵션」 · R78)
weapon_common_opt_rare,2,proposed,0,무기 통합옵션 개수 — 레어 (고정 1 + 죄종 칸 2 + 이 수) (2026-09-11 사용자 지시 · R78)
weapon_fixed_atk_pct_min,0.01,proposed,0,무기 고정 옵션 데미지 +% 최소 — 무기면 무조건 1개 · 값만 굴린다 · 1~200% 균등 굴림(아이템 레벨 무관) ⚠제안 (2026-09-21 사용자 지시)
weapon_fixed_atk_pct_max,2,proposed,0,무기 고정 옵션 데미지 +% 최대 — 200% ⚠제안 (2026-09-21 사용자 지시)
armor_common_opt_normal,2,proposed,0,방어구 공통옵션 개수 — 일반 (고정 1 + 죄종 칸 0 + 이 수 · 갑옷 · 투구 · 장갑 · 신발 공통 · 방어구는 affix_* 키를 안 쓴다) (2026-09-18 사용자 확정 · item_design §1 「갑옷 옵션」)
armor_common_opt_magic,2,proposed,0,방어구 공통옵션 개수 — 매직 (고정 1 + 죄종 칸 1 + 이 수) (2026-09-18 사용자 확정)
armor_common_opt_rare,2,proposed,0,방어구 공통옵션 개수 — 레어 (고정 1 + 죄종 칸 2 + 이 수) (2026-09-18 사용자 확정)
accessory_common_opt_normal,2,proposed,0,반지 · 목걸이 공통옵션 개수 — 일반 (목걸이 고정 1(발동 스킬) · 반지 고정 0 + 죄종 칸 0 + 이 수 · 두 부위 한 풀) (2026-09-21 사용자 확정 · item_design §1 「반지 · 목걸이」 · R127 — 옛 affix_* 접사 수 키 여섯을 대체)
