champion_id,champion_kr,champion_en,title_kr,tags,slot,skill_kr,skill_en,cooldown,desc_kr
Akali,아칼리,Akali,섬기는 이 없는 암살자,Assassin,P,암살자의 표식,Assassin's Mark,-,스킬 공격으로 챔피언에게 피해를 입히면 해당 챔피언의 주변에 원이 생깁니다. 이 원의 경계를 넘어가면 다음 기본 공격의 사거리가 길어지고 추가 피해를 입힙니다.
Akali,아칼리,Akali,섬기는 이 없는 암살자,Assassin,Q,오연투척검,Five Point Strike,1.5,아칼리가 단검 다섯 개를 던져 추가 공격력과 주문력에 비례하여 피해를 입히고 둔화시킵니다.
Akali,아칼리,Akali,섬기는 이 없는 암살자,Assassin,W,황혼의 장막,Twilight Shroud,20/19/18/17/16,아칼리가 연막을 퍼뜨린 후 이동 속도가 잠시 상승합니다. 연막 안에 있는 동안 아칼리는 투명 상태가 되어 적이 스킬이나 공격 대상으로 지정할 수 없습니다. 아칼리가 공격하거나 스킬을 사용하면 순간적으로 아칼리의 모습이 드러납니다.
Akali,아칼리,Akali,섬기는 이 없는 암살자,Assassin,E,표창곡예,Shuriken Flip,16/14.5/13/11.5/10,뒤로 공중제비를 돌며 전방으로 표창을 던져 마법 피해를 입힙니다. 처음으로 적중한 적이나 연막에 표식을 남깁니다. 스킬을 다시 사용하면 표식을 남긴 대상에게 돌진해 추가 피해를 입힙니다.
Akali,아칼리,Akali,섬기는 이 없는 암살자,Assassin,R,무결처형,Perfect Execution,120/90/60,아칼리가 지정한 방향으로 도약해 공격이 적중한 적들에게 피해를 입힙니다. 재사용 시: 아칼리가 지정한 방향으로 돌진해 공격이 적중한 모든 적들에게 피해를 입힙니다.
Akshan,아크샨,Akshan,떠도는 감시자,Marksman|Assassin,P,비열한 싸움,Dirty Fighting,-,아크샨의 기본 공격 및 스킬이 세 번 적중할 때마다 추가 물리 피해를 입힙니다. 대상이 챔피언인 경우 아크샨이 보호막을 얻습니다. 아크샨이 기본 공격 후 피해량이 감소한 두 번째 공격을 발사합니다. 추가 공격을 도중에 취소하면 대신 이동 속도가 증가합니다.
Akshan,아크샨,Akshan,떠도는 감시자,Marksman|Assassin,Q,복수의 부메랑,Avengerang,9/8/7/6/5,아크샨이 날아가고 돌아오며 피해를 입히는 부메랑을 던집니다. 적에게 적중할 때마다 부메랑의 사거리가 증가합니다.
Akshan,아크샨,Akshan,떠도는 감시자,Marksman|Assassin,W,악당 처단,Going Rogue,18/14/10/6/2,아크샨이 아군 챔피언을 처치한 적 챔피언에게 악당 표식을 남깁니다. 아크샨이 악당을 처치하면 해당 적이 처치한 아군들을 부활시키고 추가 골드를 얻으며 모든 악당 표식을 없앱니다. 활성화 시 아크샨이 위장 상태에 들어가며 악당에게 다가갈 때 이동 속도와 마나 재생량이 증가합니다. 아크샨이 지형 근처나 수풀 안에 있지 않으면 위장 상태가 금방 풀립니다.
Akshan,아크샨,Akshan,떠도는 감시자,Marksman|Assassin,E,영웅의 비상,Heroic Swing,18/16.5/15/13.5/12,"아크샨이 갈고리총을 발사해 지형에 고정시킨 후, 갈고리에 매달린 채 가장 가까운 적을 연속으로 공격하며 이동합니다. 기동 중 챔피언이나 지형에 충돌하면 땅으로 떨어지며, 도중에 스스로 뛰어내릴 수도 있습니다."
Akshan,아크샨,Akshan,떠도는 감시자,Marksman|Assassin,R,인과응보,Comeuppance,100/85/70,아크샨이 적 챔피언을 조준하고 탄환을 저장합니다. 사격을 개시하면 저장한 탄환을 모두 발사해 처음으로 적중하는 챔피언이나 미니언이나 구조물에 잃은 체력에 비례하는 피해를 입힙니다.
Alistar,알리스타,Alistar,미노타우로스,Tank|Support,P,승리의 포효,Triumphant Roar,-,"근처에서 적이 죽거나, 알리스타가 적 챔피언을 기절 혹은 이동시킬 때마다 포효를 중첩시킵니다. 최대치까지 중첩되면 근처의 모든 아군 챔피언과 자신의 체력을 회복시킵니다."
Alistar,알리스타,Alistar,미노타우로스,Tank|Support,Q,분쇄,Pulverize,14/13/12/11/10,알리스타가 땅을 내리쳐 주변의 적에게 피해를 입히고 공중에 띄웁니다.
Alistar,알리스타,Alistar,미노타우로스,Tank|Support,W,박치기,Headbutt,14/13/12/11/10,알리스타가 적에게 박치기를 하여 피해를 입히고 적을 밀어냅니다.
Alistar,알리스타,Alistar,미노타우로스,Tank|Support,E,짓밟기,Trample,12/11.5/11/10.5/10,"알리스타가 근처의 적 유닛을 짓밟아 적 챔피언에게 피해를 입힐 경우 중첩을 얻고, 유닛을 통과해서 다닐 수 있게 됩니다. 최대치까지 중첩되면 알리스타의 적 챔피언에 대한 다음 기본 공격이 강화되어 추가 마법 피해를 입히고 기절시킵니다."
Alistar,알리스타,Alistar,미노타우로스,Tank|Support,R,꺾을 수 없는 의지,Unbreakable Will,120/100/80,알리스타가 거친 함성을 지르며 자신에게 걸린 모든 방해 효과를 제거하고 일정 시간 동안 적의 물리 및 마법 피해를 감소시킵니다.
Ambessa,암베사,Ambessa,전장의 우두머리,Fighter|Assassin,P,용사냥개의 발걸음,Drakehound's Step,-,"스킬을 사용하는 동안 기본 공격 또는 이동 명령을 하면 암베사가 스킬을 사용한 후 짧은 거리를 돌진하며 다음 기본 공격의 사거리, 피해량, 공격 속도가 증가하고 기력을 돌려받습니다."
Ambessa,암베사,Ambessa,전장의 우두머리,Fighter|Assassin,Q,교활한 휩쓸기 / 파멸의 일격,Cunning Sweep / Sundering Slam,14/13/12/11/10,암베사가 쌍둥이 용사냥개로 전방 반원을 휩쓸어 날에 적중한 적에게 추가 피해를 입힙니다. 적을 타격하면 다음에 이 스킬을 사용할 때 짧은 시간 동안 스킬이 변하며 암베사가 전방에 일직선상으로 쌍둥이 용사냥개를 내리쳐 처음 적중한 적에게 추가 피해를 입힙니다.
Ambessa,암베사,Ambessa,전장의 우두머리,Fighter|Assassin,W,배척,Repudiation,18/17/16/15/14,암베사가 보호막을 얻고 짧게 준비한 후 지면을 내리쳐 주변 적에게 피해를 입힙니다. 준비하는 동안 미니언이 아닌 대상으로부터 피해를 막았다면 이 스킬로 입히는 피해량이 증가합니다.
Ambessa,암베사,Ambessa,전장의 우두머리,Fighter|Assassin,E,찢어 가르기,Lacerate,13/12/11/10/9,암베사가 주변으로 쌍둥이 용사냥개를 휘둘러 피해를 입히고 주변 적을 둔화시킵니다. 이 스킬로 용사냥개의 발걸음이 개시되면 돌진이 끝나고 암베사가 한 번 더 일격을 가합니다.
Ambessa,암베사,Ambessa,전장의 우두머리,Fighter|Assassin,R,공개 처형,Public Execution,130/115/100,암베사가 선택한 일직선상에서 가장 멀리 있는 적 챔피언에게 순간 이동한 후 제압합니다. 이후 해당 적 챔피언을 지면에 내리쳐 피해를 입히고 기절시킵니다.
Amumu,아무무,Amumu,슬픈 미라,Tank|Support,P,저주의 손길,Cursed Touch,-,아무무의 기본 공격을 받은 대상은 저주에 걸려 마법 피해를 입을 때마다 추가 고정 피해를 받습니다.
Amumu,아무무,Amumu,슬픈 미라,Tank|Support,Q,붕대 던지기,Bandage Toss,3,아무무가 끈적끈적한 붕대를 던져 적을 기절시키고 피해를 입히며 가까이 이동합니다.
Amumu,아무무,Amumu,슬픈 미라,Tank|Support,W,절망,Despair,1,적이 절망으로 인해 매 초마다 최대 체력에 비례한 피해를 입고 저주가 초기화됩니다.
Amumu,아무무,Amumu,슬픈 미라,Tank|Support,E,짜증내기,Tantrum,9/8/7/6/5,아무무가 받는 물리 피해를 영구적으로 감소시킵니다. 활성화 시 아무무가 주변 적에게 분노를 방출합니다. 아무무가 공격당할 때마다 짜증내기의 재사용 대기시간이 감소합니다.
Amumu,아무무,Amumu,슬픈 미라,Tank|Support,R,슬픈 미라의 저주,Curse of the Sad Mummy,150/125/100,아무무가 붕대로 주변 유닛을 휘감아 저주를 내리고 피해를 입히며 기절시킵니다.
Anivia,애니비아,Anivia,얼음불사조,Mage,P,환생,Rebirth,-,애니비아는 치명적인 피해를 입으면 알 형태로 돌아가 체력을 완전히 회복한 후 환생합니다.
Anivia,애니비아,Anivia,얼음불사조,Mage,Q,냉기 폭발,Flash Frost,11/10/9/8/7,애니비아가 날개를 모아 얼음 구체를 소환한 뒤 발사하여 명중 당한 적들을 냉각에 빠뜨리고 피해를 입힙니다. 폭발 시 일정 반경 안에 있는 적에게 피해를 입히고 기절시킵니다.
Anivia,애니비아,Anivia,얼음불사조,Mage,W,결정화,Crystallize,17,애니비아가 공기 중의 수분을 빙결시켜 지나갈 수 없는 얼음 벽을 만듭니다. 벽은 얼마 지나지 않아 녹아버립니다.
Anivia,애니비아,Anivia,얼음불사조,Mage,E,동상,Frostbite,4,애니비아가 날개를 퍼덕이며 적에게 얼음 바람을 일으켜 피해를 입힙니다. 최근 냉기 폭발이나 최대 크기에 도달한 얼음 폭풍에 적중당한 대상이 입는 피해는 2배로 증가합니다.
Anivia,애니비아,Anivia,얼음불사조,Mage,R,얼음 폭풍,Glacial Storm,4/3/2,애니비아가 얼음의 비와 폭풍우를 소환하여 적에게 피해를 입히고 이동 속도를 늦춥니다.
Annie,애니,Annie,어둠의 아이,Mage|Support,P,방화광,Pyromania,-,애니가 스킬을 4번 사용한 후 다음 공격 스킬에 맞은 적은 기절합니다. 애니가 게임을 시작하고 방화광을 사용할 수 있는 상태로 재생성됩니다.
Annie,애니,Annie,어둠의 아이,Mage|Support,Q,붕괴,Disintegrate,4,애니가 마나로 가득 찬 화염구를 던져 피해를 입히고 결정타를 냈을 때 사용한 마나를 되돌려 받습니다.
Annie,애니,Annie,어둠의 아이,Mage|Support,W,소각,Incinerate,7,애니가 원뿔 형태의 화염을 내뿜어 해당 지역에 있는 모든 적에게 피해를 입힙니다.
Annie,애니,Annie,어둠의 아이,Mage|Support,E,용암 방패,Molten Shield,10,"애니나 아군에게 보호막을 부여하고 이동 속도가 증가하며, 기본 공격이나 스킬로 공격하는 적에게 피해를 입힙니다."
Annie,애니,Annie,어둠의 아이,Mage|Support,R,소환: 티버,Summon: Tibbers,130/115/100,애니가 자신의 곰 티버를 되살려 지정 구역에 있는 유닛에게 피해를 입힙니다. 티버는 주변의 적을 공격하거나 불태울 수도 있습니다.
Aphelios,아펠리오스,Aphelios,신념의 무기,Marksman,P,암살자와 예언자,The Hitman and the Seer,-,"아펠리오스는 쌍둥이 누이 알룬이 만든 다섯 가지의 루나리 무기를 사용합니다. 한 번에 주 무기와 보조 무기 등 총 두 가지 무기를 사용할 수 있습니다. 각 무기는 고유의 기본 공격과 스킬을 가지고 있습니다. 기본 공격과 스킬 사용 시 탄약을 소모하며, 탄약을 모두 소모하면 사용 중인 주 무기를 5개의 무기 중 다음 무기로 교체합니다."
Aphelios,아펠리오스,Aphelios,신념의 무기,Marksman,Q,무기 스킬,Weapon Abilites,9,아펠리오스는 주 무기에 따라 5개의 스킬을 사용할 수 있습니다. 만월총(소총): 원거리 공격으로 대상에게 표식을 남깁니다. 표식을 소모해 추가로 원거리 공격을 가할 수 있습니다. 절단검(낫 모양 권총): 빠르게 이동하며 주 무기와 보조 무기로 주위 적들을 공격합니다. 중력포(대포): 이 무기로 둔화된 모든 적을 속박합니다. 화염포(화염 방사기): 원뿔 형태로 적에게 화염을 발사한 후 보조 무기로 공격합니다. 반월검(투척 무기): 보조 무기와 동일한 무기를 사용하는 파수탑을 배치합니다.
Aphelios,아펠리오스,Aphelios,신념의 무기,Marksman,W,위상 변화,Phase,0.8,아펠리오스가 주 무기와 보조 무기를 서로 교체해 기본 공격과 스킬을 변경합니다.
Aphelios,아펠리오스,Aphelios,신념의 무기,Marksman,E,무기 교체 시스템,Weapon Queue System,0,"아펠리오스는 세 번째 스킬이 없습니다. 이 칸은 알룬이 부여할 다음 무기를 보여 줍니다. 무기는 정해진 순서로 시작하지만, 게임이 진행되는 동안 바뀔 수 있습니다. 무기는 탄약이 떨어지면 마지막 순서로 돌아갑니다."
Aphelios,아펠리오스,Aphelios,신념의 무기,Marksman,R,월광포화,Moonlight Vigil,120/110/100,적 챔피언에게 적중 시 폭발하는 달빛 에너지를 발사합니다. 아펠리오스가 장착한 주 무기의 고유 효과를 적용합니다.
Ashe,애쉬,Ashe,서리 궁수,Marksman|Support,P,서리 화살,Frost Shot,-,"애쉬의 공격을 받은 대상이 느려지며, 이 대상에 대한 애쉬의 공격력이 상승합니다. 애쉬의 치명타는 추가 피해를 가하지 않는 대신, 대상에게 더 강력한 둔화를 적용합니다."
Ashe,애쉬,Ashe,서리 궁수,Marksman|Support,Q,궁사의 집중,Ranger's Focus,0,"애쉬는 공격을 계속하면 집중이 오릅니다. 집중 중첩이 최대치에 이르면 이를 모두 소모해 애쉬가 궁사의 집중을 사용할 수 있으며, 이 때 애쉬의 공격 속도가 잠시 동안 증가하고 그 동안 기본 공격이 강력한 다발 공격으로 변합니다."
Ashe,애쉬,Ashe,서리 궁수,Marksman|Support,W,일제 사격,Volley,18/14.5/11/7.5/4,애쉬가 화살을 원뿔 모양으로 발사하여 더 큰 피해를 입힙니다. 이때 서리 화살의 효과도 적용됩니다.
Ashe,애쉬,Ashe,서리 궁수,Marksman|Support,E,매 날리기,Hawkshot,5,애쉬가 매의 혼을 맵 어느 위치든 날려보내 정찰을 시킵니다.
Ashe,애쉬,Ashe,서리 궁수,Marksman|Support,R,마법의 수정화살,Enchanted Crystal Arrow,100/80/60,애쉬가 얼음으로 된 화살을 발사합니다. 화살이 적 챔피언에 맞을 경우 피해를 입히고 화살 발사 거리에 따라 더 오랜 시간 기절시킵니다. 또한 주변 적 유닛 역시 피해를 받고 속도가 느려집니다.
AurelionSol,아우렐리온 솔,Aurelion Sol,별의 창조자,Mage,P,우주의 창조자,Cosmic Creator,-,아우렐리온 솔이 스킬로 피해를 입히면 각 스킬을 영구히 강화하는 별가루를 획득합니다.
AurelionSol,아우렐리온 솔,Aurelion Sol,별의 창조자,Mage,Q,빛의 숨결,Breath of Light,3,아우렐리온 솔이 몇 초 동안 용의 숨결을 내뿜어 처음 적중하는 적에게 피해를 입히고 주변 적에게는 그보다 적은 광역 피해를 입힙니다. 숨결이 적에게 적중할 때마다 매초 추가 피해를 입힙니다. 추가 피해량은 획득한 별가루 양만큼 증가합니다. 대상이 챔피언이면 별가루를 획득합니다.
AurelionSol,아우렐리온 솔,Aurelion Sol,별의 창조자,Mage,W,별의 비행,Astral Flight,22/20/18/16/14,아우렐리온 솔이 지정한 방향으로 날아갑니다. 이 상태에서 다른 스킬을 사용할 수 있습니다. 비행 중 빛의 숨결은 재사용 대기시간이나 최대 정신 집중 시간이 없으며 피해가 증가합니다. 아우렐리온 솔이 피해를 입힌 지 얼마 되지 않은 적 챔피언이 죽을 때마다 별의 비행의 남은 재사용 대기시간이 감소합니다. 별가루는 별의 비행 최대 사거리를 늘립니다.
AurelionSol,아우렐리온 솔,Aurelion Sol,별의 창조자,Mage,E,특이점,Singularity,12,아우렐리온 솔이 적에게 피해를 입히며 적을 천천히 중심으로 끌어당기는 블랙홀을 소환합니다. 이 스킬은 블랙홀에 있는 적 챔피언 한 명당 매초 별가루를 부여하며 안에 있는 적이 죽을 때도 별가루를 부여합니다. 블랙홀의 중심에 있는 적은 체력이 최대 체력의 일정 비율 밑으로 떨어질 경우 처형됩니다. 별가루는 특이점의 크기와 처형 기준값을 늘립니다.
AurelionSol,아우렐리온 솔,Aurelion Sol,별의 창조자,Mage,R,유성 / 천상 강림,Falling Star / The Skies Descend,120/110/100,유성: 아우렐리온 솔이 땅으로 별을 떨어뜨립니다. 이 충격으로 마법 피해를 입히고 적을 기절시키며 적중한 적 챔피언 한 명당 별가루를 획득합니다. 별가루가 어느 정도 모이면 아우렐리온 솔의 다음 유성이 천상 강림으로 변합니다. 천상 강림: 아우렐리온 솔이 하늘에서 충돌 범위와 피해가 커진 거대한 별을 끌어내 적을 기절시키는 대신 공중에 띄웁니다. 이후 충돌 범위 가장자리에서 충격파가 퍼지며 적중한 적에게 피해를 입히고 둔화시킵니다. 별가루는 유성과 천상 강림의 충돌 범위를 넓힙니다.
Aurora,오로라,Aurora,세계의 경계에 선 마녀,Mage|Assassin,P,영혼 방호술,Spirit Abjuration,-,오로라가 스킬 또는 공격으로 피해를 입힌 적의 영혼을 제령합니다. 제령된 영혼은 오로라 주위를 따라다니며 체력을 회복시킵니다.
Aurora,오로라,Aurora,세계의 경계에 선 마녀,Mage|Assassin,Q,이중 저주,Twofold Hex,9/8.5/8/7.5/7,오로라가 적중한 적에게 저주를 내리는 에너지를 발사합니다. 재사용하면 내린 저주를 다시 불러들이며 이때 저주에 적중한 경로상의 적에게 피해를 입힙니다.
Aurora,오로라,Aurora,세계의 경계에 선 마녀,Mage|Assassin,W,장막 너머로,Across the Veil,22/21/20/19/18,오로라가 지정한 방향으로 뛰어올라 착지 시 영혼 세계에 진입하고 짧은 시간 동안 투명 상태가 되며 이동 속도가 증가합니다.
Aurora,오로라,Aurora,세계의 경계에 선 마녀,Mage|Assassin,E,마법의 문,The Weirding,15/14/13/12/11,오로라가 세계를 합치고 영혼 마법을 발사해 적에게 피해를 입히며 둔화시킨 다음 안전한 뒤쪽으로 깡충 뜁니다.
Aurora,오로라,Aurora,세계의 경계에 선 마녀,Mage|Assassin,R,세계의 경계,Between Worlds,140/120/100,오로라가 지정한 방향으로 뛰어올라 적중한 적에게 피해를 입히고 둔화시키는 충격파를 방출합니다. 이후 안에 있는 적을 둔화시키고 오로라가 한쪽에서 반대편으로 이동할 수 있는 영역을 생성합니다.
Azir,아지르,Azir,사막의 황제,Mage|Marksman,P,슈리마의 유산,Shurima's Legacy,-,아지르는 무너진 아군 포탑이나 적 포탑 위에 태양 포탑을 소환할 수 있습니다.
Azir,아지르,Azir,사막의 황제,Mage|Marksman,Q,사막의 맹습,Conquering Sands,14/12/10/8/6,"아지르가 모든 모래 병사를 특정 위치로 보냅니다. 모래 병사들은 통과하는 적에게 마법 피해를 입히고, 1초 둔화 효과를 적용합니다."
Azir,아지르,Azir,사막의 황제,Mage|Marksman,W,일어나라!,Arise!,1.5,아지르가 모래 병사를 소환하여 근처에 있는 대상을 공격합니다. 아지르의 기본 공격은 모래 병사의 공격 범위 내에 있는 대상에게 가해집니다. 아지르와 모래 병사의 공격은 일직선 상의 적들에게 마법 피해를 입힙니다.
Azir,아지르,Azir,사막의 황제,Mage|Marksman,E,신기루,Shifting Sands,22/20.5/19/17.5/16,아지르에게 잠시 보호막이 생성되고 아지르가 모래 병사 중 하나에게 질주하여 적에게 피해를 입힙니다. 적 챔피언에게 부딪친 경우에는 배치 가능한 새로운 모래 병사를 즉시 준비하고 질주를 멈춥니다.
Azir,아지르,Azir,사막의 황제,Mage|Marksman,R,황제의 진영,Emperor's Divide,120/105/90,아지르가 일렬 횡대의 병사들을 앞으로 돌진시켜 적들을 밀어내고 피해를 입힙니다.
Bard,바드,Bard,영겁의 수호자,Support|Mage,P,방랑자의 부름,Traveler's Call,-,"정령: 바드에게 이끌려 모여든 정령들이 바드의 기본 공격을 도와 추가 마법 피해를 입힙니다. 바드가 고대의 종을 충분히 모으면 정령이 일정 영역에 피해를 입히며 적중당한 적을 둔화시킵니다. 고대의 종: 맵상의 무작위 장소에 바드가 모을 수 있는 고대의 종이 나타납니다. 고대의 종을 획득하면 경험치, 마나 회복 효과, 비전투 시 이동 속도를 얻습니다."
Bard,바드,Bard,영겁의 수호자,Support|Mage,Q,우주의 결속,Cosmic Binding,11/10/9/8/7,"바드가 투사체를 발사하여, 처음 적중하는 적을 둔화시키고 관통합니다. 관통한 후 벽을 맞히면 처음 적중한 적을 기절시킵니다. 관통 후 다른 적에게 적중하면 두 대상을 모두 기절시킵니다."
Bard,바드,Bard,영겁의 수호자,Support|Mage,W,수호자의 성소,Caretaker's Shrine,0,짧은 시간 동안 치유력이 증가하는 체력 회복 성소를 드러냅니다. 성소는 처음 발을 들이는 아군을 치유하고 속도를 높인 후 사라집니다.
Bard,바드,Bard,영겁의 수호자,Support|Mage,E,신비한 차원문,Magical Journey,22/20.5/19/17.5/16,바드가 근처 지형지물에 차원문을 엽니다. 아군과 적 챔피언이 모두 이 차원문을 이용해 정해진 방향으로 해당 지형지물을 통과할 수 있습니다.
Bard,바드,Bard,영겁의 수호자,Support|Mage,R,운명의 소용돌이,Tempered Fate,110/95/80,바드가 목표 지점에 영적 에너지를 발사하여 잠시 동안 모든 유닛과 포탑을 정지시킵니다.
Belveth,벨베스,Bel'Veth,공허의 여제,Fighter,P,연보랏빛 죽음 ,Death in Lavender ,-,벨베스가 대형 미니언과 몬스터 및 챔피언 처치에 관여한 후 공격 속도 영구 중첩을 얻습니다. 또한 스킬을 사용한 후 일시적인 추가 공격 속도를 얻습니다.
Belveth,벨베스,Bel'Veth,공허의 여제,Fighter,Q,공허 쇄도,Void Surge,4/3.25/2.5/1.75/1,벨베스가 선택한 방향으로 돌진해 경로상의 모든 적에게 피해를 입힙니다.
Belveth,벨베스,Bel'Veth,공허의 여제,Fighter,W,위와 아래,Above and Below,12/11/10/9/8,벨베스가 지면에 꼬리를 내리쳐 적에게 피해를 입히며 공중으로 띄워 올리고 둔화시킵니다.
Belveth,벨베스,Bel'Veth,공허의 여제,Fighter,E,여제의 소용돌이,Royal Maelstrom,24/21/18/15/12,벨베스가 제자리에 가만히 서서 정신을 집중하며 가장 체력이 낮은 적을 노리고 생명력 흡수와 피해량 감소 효과를 부여하는 칼바람 소용돌이를 일으킵니다.
Belveth,벨베스,Bel'Veth,공허의 여제,Fighter,R,끝없는 연회,Endless Banquet,1,"벨베스가 공허 산호 잔해를 소모해 본모습으로 변신하며 최대 체력, 공격 사거리, 공격 속도가 증가합니다. 공허 에픽 몬스터의 공허 산호 잔해를 소모하면 공허 빨판상어를 소환할 힘이 생깁니다."
Blitzcrank,블리츠크랭크,Blitzcrank,거대 증기 골렘,Tank|Support,P,마나 보호막,Mana Barrier,-,체력이 낮아지면 블리츠크랭크가 마나에 비례하여 보호막을 얻습니다.
Blitzcrank,블리츠크랭크,Blitzcrank,거대 증기 골렘,Tank|Support,Q,로켓 손,Rocket Grab,20/19/18/17/16,블리츠크랭크가 오른손을 발사하여 앞에 있는 적을 붙잡아 당기면서 피해를 입힙니다.
Blitzcrank,블리츠크랭크,Blitzcrank,거대 증기 골렘,Tank|Support,W,폭주,Overdrive,15,블리츠크랭크가 힘을 충전하여 이동 및 공격 속도를 크게 향상시킵니다. 이 효과가 끝나면 일시적으로 이동 속도가 느려집니다.
Blitzcrank,블리츠크랭크,Blitzcrank,거대 증기 골렘,Tank|Support,E,강철 주먹,Power Fist,7/6.5/6/5.5/5,블리츠크랭크가 주먹에 힘을 모아 다음 공격 시 적에게 두 배의 피해를 입히고 적을 공중으로 띄웁니다.
Blitzcrank,블리츠크랭크,Blitzcrank,거대 증기 골렘,Tank|Support,R,정전기장,Static Field,60/40/20,블리츠크랭크의 공격을 받은 적에게 표식을 남기고 1초 후 번개 피해를 입힙니다. 스킬 사용 시 주변 적의 보호막을 제거하고 피해를 입히며 잠시 침묵에 걸리게 합니다.
Brand,브랜드,Brand,타오르는 복수,Mage|Support,P,불길,Blaze,-,"브랜드의 스킬이 적을 불길로 휘감아, 4초 동안 피해를 줍니다. 불길은 세 번까지 중첩되며, 적이 불타는 동안 브랜드가 적을 처치하면 마나를 회복합니다. 챔피언이나 대형 몬스터에 불길이 세 번 중첩되면 불안정해져 2초 후 폭발하고, 근처 적에게 스킬 효과를 적용하며 막대한 피해를 입힙니다."
Brand,브랜드,Brand,타오르는 복수,Mage|Support,Q,불태우기,Sear,8/7.5/7/6.5/6,"브랜드가 불덩이를 발사하여 마법 피해를 입힙니다. 대상이 불타는 상태라면, 불태우기에 맞은 대상은 기절합니다."
Brand,브랜드,Brand,타오르는 복수,Mage|Support,W,화염 기둥,Pillar of Flame,10/9.5/9/8.5/8,잠시 후 목표 지점에 화염 기둥을 생성하여 해당 지역에 있는 적 유닛에게 마법 피해를 입힙니다. 불이 붙은 적은 25%의 추가 피해를 받습니다.
Brand,브랜드,Brand,타오르는 복수,Mage|Support,E,발화,Conflagration,13/12/11/10/9,브랜드가 목표에 강력한 폭발을 일으켜 마법 피해를 입힙니다. 폭발은 주변 적들에게 퍼집니다. 대상이 불타는 상태라면 발화의 전파 범위가 두 배가 됩니다.
Brand,브랜드,Brand,타오르는 복수,Mage|Support,R,파멸의 불덩이,Pyroclasm,100/90/80,"브랜드가 파괴적인 화염을 발사합니다. 화염은 브랜드와 주변 적들에게 최대 5번 튕기며, 튕길 때마다 마법 피해를 입힙니다. 화염은 불길 중첩이 적은 챔피언에게 우선적으로 튕깁니다. 불타고 있는 적이 파멸의 불덩이를 맞으면 잠깐 동안 이동 속도가 느려집니다."
