hero_id,hero_kr,hero_en,attr,ability_id,skill_kr,skill_en,kind,cooldown,desc_kr,scepter_kr,shard_kr
ancient_apparition,고대 영혼,Ancient Apparition,int,ancient_apparition_ice_blast,얼음 폭풍,Ice Blast,ability,50/45/40,폭발하며 피해를 주는 우박 덩어리를 전장의 임의 지점에 발사합니다. 처음에는 예광탄을 날려 보내고 그다음 다시 발사체를 날려 보냅니다. 날아간 거리가 멀수록 효과 범위가 커집니다. 폭풍에 맞거나 날아가는 냉기 우박 덩어리에 맞은 적은 동상에 걸려 지속 피해를 받고 체력 재생 및 치유를 할 수 없습니다. 동상에 걸린 유닛의 체력이 일정 비율 아래로 떨어지면 곧바로 산산조각이 나 부서집니다.,,현재 레벨의 발 얼리기로 타격한 적을 지속시간의 50% 동안 얼립니다.
antimage,항마사,Anti-Mage,agi,antimage_mana_break,마나 분해,Mana Break,ability,-,공격할 때마다 상대의 마나를 불태우고 불태운 마나의 일정 비율에 해당하는 피해를 줍니다.,타격당 불태우는 최대 마나가 증가합니다.,
antimage,항마사,Anti-Mage,agi,antimage_blink,점멸,Blink,ability,10.5/9/7.5/6,항마사가 짧은 거리를 순간이동합니다. 신속하게 전투에 뛰어들고 빠져나올 수 있습니다.,"점멸 시전 후, 다음 5초 안에 마나 분해를 시행하면, 추가로 최대 마나의 20%를 불태우고, 짧은 시간 동안 대상이 마나를 재생하거나 획득하지 못하게 막습니다. 해제할 수 없는 약화 효과입니다.",
antimage,항마사,Anti-Mage,agi,antimage_counterspell,주문 반격,Counterspell,ability,15/11/7/3,지속하여 마법 저항력을 얻습니다. 주문 반격을 활성화하면 항마사 주위에 항마법 막을 생성하여 대상 지정 주문을 차단하고 반사할 수 있습니다.,,활성화한 동안 유닛 대상 주문을 반사할 때 적 시전자 옆에 항마사의 점멸 파편이 생성됩니다.
antimage,항마사,Anti-Mage,agi,antimage_persectur,박해자,Persecutor,innate,-,"공격 시 적이 잃은 마나의 양에 따라 느려지게 합니다. 마나가 60%일 때 최소한으로 느려지며, 0%일 때 최대로 느려집니다. 적의 마나가 60%보다 많을 때는 아무런 영향을 미치지 못합니다.",,
antimage,항마사,Anti-Mage,agi,antimage_mana_void,마나 공허,Mana Void,ability,100/85/70,대상 유닛이 잃은 마나만큼 대상 유닛과 주변 적들에게 피해를 줍니다. 주 대상은 짧은 시간 동안 기절합니다.,,
arc_warden,번개 감시자,Arc Warden,all,arc_warden_flux,휘몰이,Flux,ability,16,"홀로 떨어진 적에게 불안정하게 휘몰아치는 에너지를 주입하여 지속 피해를 주고, 대상을 둔화합니다. 대상 주위에 다른 적 유닛이 있으면 피해가 적용되지 않습니다.","휘몰이는 혼자 있는 대상을 침묵시키며, 더 큰 피해를 주고 더 오랫동안 지속합니다.",
arc_warden,번개 감시자,Arc Warden,all,arc_warden_magnetic_field,자기장,Magnetic Field,ability,20/19/18/17,"번개 감시자가 뒤틀린 자력의 장을 원형으로 생성합니다. 자기장은 안에 있는 아군 유닛에게 보너스 공격 속도를 부여하고 외부에서 오는 공격을 회피하도록 보호합니다. 자기장은 룬을 끌어당기며, 자기장 안에 있는 룬은 자동으로 활성화됩니다.",,
arc_warden,번개 감시자,Arc Warden,all,arc_warden_spark_wraith,불꽃 망령,Spark Wraith,ability,4/4/4/4,"서서히 물질화하고 적이 범위 내에 들어올 때까지 대상 지역을 정찰하는 불꽃 망령을 소환합니다. 대상을 발견하면, 망령은 해당 유닛과 융합한 다음 마법 피해를 주고 둔화합니다.",,
arc_warden,번개 감시자,Arc Warden,all,arc_warden_runic_infusion,룬 주입,Runic Infusion,innate,-,강화 룬이 자아에 융합됩니다. 번개 감시자 또는 이중 폭풍이 강화 룬을 활성화할 때마다 번개 감시자가 영구적으로 모든 속성을 +1.5씩 얻습니다.,,
arc_warden,번개 감시자,Arc Warden,all,arc_warden_tempest_double,이중 폭풍,Tempest Double,ability,60/55/50,"번개 감시자는 일시적으로 조각난 원소들을 형상 하나로 다시 맞추어, 자신을 완벽하게 복제합니다. 복제한 존재는 번개 감시자가 현재 보유한 아이템과 주문을 모두 쓸 수 있지만, 사망 시 땅에 떨어지는 대다수 소모품과 아이템은 사용할 수 없습니다. 복제한 존재에게는 아이템과 능력의 쿨다운이 본체와 별개로 적용됩니다. 이중 폭풍은 시간이 흐를수록 자아와 조각에 대한 의식을 잃어, 속도가 느려지고 정확도가 떨어집니다.",,"이중 폭풍에게 생성 시 12초 동안 신비, 투명화, 신속화 룬 보너스가 주입됩니다. 룬 주입을 발동하지 않습니다."
axe,도끼전사,Axe,str,axe_berserkers_call,광전사의 외침,Berserker's Call,ability,18/16/14/12,"도끼전사가 주위 적을 도발하여 자신을 공격하게 하는 한편, 효과가 지속되는 동안 보너스 방어력을 얻습니다.",,광전사의 외침으로 영향받은 유닛에게 투쟁욕이 적용됩니다.
axe,도끼전사,Axe,str,axe_battle_hunger,투쟁욕,Battle Hunger,ability,20/15/10/5,적 유닛을 격분시켜 지속 피해를 줍니다. 투쟁욕 효과는 해당 적 유닛이 다른 유닛을 죽이거나 효과의 시간이 다할 때까지 지속합니다. 적이 도끼전사를 마주하지 않으면 둔화합니다.,,투쟁욕 여러 개가 단일 대상에게 중첩될 수 있습니다.
axe,도끼전사,Axe,str,axe_counter_helix,반격의 나선,Counter Helix,ability,0.3,"일정 횟수의 공격 후, 나선을 그리며 반격해 주위 적 모두에게 순수 피해를 줍니다.","반격의 나선으로 타격하는 적에게 중첩되는 약화 효과를 적용합니다. 효과에 걸린 적이 도끼전사에게 주는 전체 공격 피해가 감소합니다. 이제 반격의 나선에 쿨다운이 적용되지 않으며, 도끼전사가 공격할 때 미리 반격합니다.",
axe,도끼전사,Axe,str,axe_culling_blade,도태의 도끼날,Culling Blade,ability,80/75/70,"도끼전사가 적의 약점을 찾아내어 공격하여 순수 피해를 줍니다. 도태의 도끼날로 적 영웅이 죽으면 쿨다운이 초기화되며, 모든 주위 아군 유닛이 보너스 이동 속도와 방어력을 얻습니다. 도끼전사가 적 영웅 한 명을 도태의 도끼날로 처치할 때마다 검을 피에 적셔 중첩당 보너스 방어력을 얻습니다.",,
axe,도끼전사,Axe,str,axe_one_man_army,일인 군대,One Man Army,innate,-,도끼전사가 자신으로부터 700 거리 안에 아군 영웅이 없으면 방어력의 50%에 비례하여 힘을 얻습니다. 효과는 아군에게 가까워진 후 3초에 걸쳐 서서히 사라집니다.,,
bane,악몽의 그림자,Bane,all,bane_enfeeble,약화,Enfeeble,ability,22/17/12/7,매초 피해를 주고 적의 전체 공격력과 시전 범위를 감소시킵니다.,,
bane,악몽의 그림자,Bane,all,bane_brain_sap,정기 흡수,Brain Sap,ability,17/15/13/11,적 유닛의 정기를 흡수하여 자신의 체력을 회복하고 피해를 줍니다.,,쿨다운이 %bonus_AbilityCooldown% 감소합니다. 정기 흡수가 550 효과 범위에 적용되는 주문이 됩니다. 2차 대상은 30%만 치유됩니다.
bane,악몽의 그림자,Bane,all,bane_nightmare,악몽,Nightmare,ability,25/22/19/16,대상 적 또는 아군 영웅을 잠들게 합니다. 잠자는 유닛은 악몽의 그림자가 선택한 방향으로 걸어가며 피해를 받으면 깨어납니다. 대상이 직접 공격받으면 악몽은 공격하는 유닛에게 옮겨갑니다. 악몽의 그림자는 악몽에 빠진 대상을 자유롭게 공격하고 피해를 줄 수 있습니다. 교체 시전으로 설정하여 대상을 가만히 서 있게 할 수 있습니다.,,
bane,악몽의 그림자,Bane,all,bane_fiends_grip,악몽의 손아귀,Fiend's Grip,ability,120/110/100,"집중 기술 - 적 유닛을 움켜쥐어 무력화하고 지속해서 큰 피해를 줍니다. 또한, 적 유닛의 최대 마나에 비례하여 0.5초마다 마나를 훔칩니다.","악몽의 손아귀 쿨다운이 %bonus_AbilityCooldown%초 감소합니다. 시전 시 제어할 수 없는 환영 둘을 생성합니다. 환영도 정신을 집중하여 대상에게 악몽의 손아귀를 시전합니다. 환영은 받는 피해가 225% 증가하며, 방해를 받으면 즉시 죽습니다. 피해는 중첩되지 않습니다.",
bane,악몽의 그림자,Bane,all,bane_ichor_of_nyctasha,닉타샤의 영액,Ichor of Nyctasha,innate,-,"악몽의 그림자가 적 영웅을 처치하거나 적 영웅이 악몽의 그림자가 건 약화 효과를 받는 상태에서 죽을 때마다, 해당 적은 게임의 나머지 시간 동안 공포에 걸려 이후 악몽의 그림자가 거는 약화 효과에 대해 상태 저항력이 감소합니다.",,
batrider,박쥐기수,Batrider,all,batrider_sticky_napalm,끈적이는 네이팜,Sticky Napalm,ability,3,끈적이는 기름으로 대상 지역을 적셔 박쥐기수의 공격과 능력으로 주는 피해를 증가시키며 적들의 이동 속도 및 방향 전환 속도를 감소시킵니다. 끈적이는 네이팜을 추가로 계속 시전하면 피해를 더욱 증가시킬 수 있습니다. 최대 20회까지 중첩됩니다. 매 시전 시 적은 양의 피해를 적용합니다.,,더는 끈적이는 네이팜에 중첩 제한이 적용되지 않습니다. 끈적이는 네이팜이 구조물에도 피해를 줍니다.
batrider,박쥐기수,Batrider,all,batrider_flamebreak,화염 폭탄,Flamebreak,ability,22/19/16/13,대상 지역에 폭발물을 뒤섞어 만든 폭탄을 터뜨립니다. 효과의 범위 내에 있는 적을 뒤로 밀치고 둔화하며 지속 피해를 줍니다.,,
batrider,박쥐기수,Batrider,all,batrider_firefly,불꽃 질주,Firefly,ability,48/42/36/30,박쥐기수가 하늘로 날아올라 공중에서 엄청나게 빠른 속도로 움직이며 지나가는 자리마다 불길을 남깁니다. 불길에 닿는 적은 피해를 받고 박쥐기수 아래에 있는 나무는 불에 타 파괴됩니다. 불꽃 질주 지속시간이 끝날 때 최대 이동 속도 보너스에 도달합니다.,,
batrider,박쥐기수,Batrider,all,batrider_smoldering_resin,그을린 나뭇진,Smoldering Resin,innate,-,박쥐기수가 공격 시 2초 동안 1초마다 공격력의 20%에 해당하는 피해를 주는 약화 효과를 적용합니다.,,
batrider,박쥐기수,Batrider,all,batrider_flaming_lasso,불타는 올가미,Flaming Lasso,ability,90/75/60,적을 올가미로 묶어 박쥐기수의 뒤로 끌고 다닙니다. 올가미에 묶인 유닛은 이동하거나 공격할 수 없고 능력을 사용할 수 없습니다. 순간이동 또는 점멸을 사용하면 올가미에서 풀려납니다.,불타는 올가미를 사용하면 대상은 물론 650 유닛 거리 내에서 대상과 가장 가까이에 있는 아군 영웅을 함께 붙잡습니다. 두 번째 대상은 첫 번째 대상에 묶입니다.,
beastmaster,야수지배자,Beastmaster,all,beastmaster_wild_axes,도끼 던지기,Wild Axes,ability,8,"야수지배자가 부메랑처럼 도끼를 날려 보내 그 사이에 있는 적 유닛 및 나무를 베어냅니다. 도끼마다 적 하나를 한 번씩 공격하며, 그 이후 야수지배자와 소환수가 주는 피해가 증폭됩니다.",,야수지배자가 적 영웅을 공격하면 해당하는 레벨의 도끼 던지기 약화 효과도 적용합니다.
beastmaster,야수지배자,Beastmaster,all,beastmaster_summon_razorback,칼날등돼지 소환,Summon Razorback,ability,30,야수지배자가 전장을 지원하는 멧돼지를 한 마리 불러냅니다. 멧돼지는 지속하여 독 공격을 하여 공격 속도와 이동 속도를 느려지게 합니다.,,
beastmaster,야수지배자,Beastmaster,all,beastmaster_summon_raptor,육식조 소환,Summon Raptors,ability,30,야수지배자가 매 2마리를 소환합니다. 소환된 매는 야수지배자 주위를 맴돌다 적에게 급강하하여 4초의 기본 공격 빈도로 피해를 주고 제자리에 묶습니다. 공격 빈도는 매의 공격 속도에 따라 증가합니다. 영웅을 우선시합니다.,,"매의 지속시간이 %bonus_duration%초 증가하며, 1마리를 추가로 소환합니다."
beastmaster,야수지배자,Beastmaster,all,beastmaster_inner_beast,내면의 야수,Inner Beast,innate,-,야수지배자와 그가 부리는 유닛의 잠재된 분노를 일깨워 지속하여 공격 속도를 높입니다.,,
beastmaster,야수지배자,Beastmaster,all,beastmaster_drums_of_slom,슬롬의 북,Drums of Slom,scepter,-,"야수지배자나 근처의 지배하는 유닛이 공격하면 북을 두드려 주위 유닛에게 피해를 주고, 가한 피해의 일정 비율만큼 자신과 지배하는 유닛을 치유합니다. 공격할 때마다 북을 치는 간격이 20회 공격 후 최소 0.5초로 감소합니다. 공격하지 않으면, 간격이 점차 증가합니다. 태고의 포효는 공격 10회로 간주합니다.",,
beastmaster,야수지배자,Beastmaster,all,beastmaster_primal_roar,태고의 포효,Primal Roar,ability,90/75/60,"야수지배자가 우렁차게 고함을 내질러 대상 적을 기절시키고 대상에게까지 길을 냅니다. 함성의 경로에 있는 모든 유닛은 피해를 받으며, 함성의 영향으로 밀려난 유닛은 이동 속도 및 공격 속도가 감소합니다. 추가로, 야수지배자와 소환수의 이동 속도가 2초 동안 40% 증가합니다.",,
bloodseeker,혈귀,Bloodseeker,agi,bloodseeker_bloodrage,피의 분노,Bloodrage,ability,14/12/10/8,"혈귀를 피에 굶주린 분노로 몰아넣습니다. 효과를 받으면 매초 체력의 일정 비율을 희생하여 더 빠르게 공격하며, 주는 주문 피해도 증가합니다.",,피의 분노로 공격 시 대상이 보유한 최대 체력의 1.5%를 순수 피해로 줍니다.
bloodseeker,혈귀,Bloodseeker,agi,bloodseeker_blood_bath,피의 의식,Blood Rite,ability,15/14/13/12,"혈귀가 신성한 피로 대상 지역을 물들입니다. 2.9초 후 의식이 끝나고, 대상 지역에 있는 적들은 피해를 받고 침묵에 빠집니다.",,
bloodseeker,혈귀,Bloodseeker,agi,bloodseeker_thirst,갈증,Thirst,ability,-,"혈귀는 적의 부상을 알아차리고 흥분하며, 적 영웅의 체력이 100% 아래로 떨어지면 이동 속도가 증가합니다. 적 영웅의 체력이 더 많이 떨어질수록 혈귀의 보너스 효과도 증가합니다. 적 영웅의 체력이 25% 아래로 떨어지면 혈귀는 해당 영웅을 볼 수 있으며 진실의 시야를 얻습니다. 영웅당 보너스 효과가 중첩됩니다. 혈귀에게는 최대 이동 속도가 해제됩니다.",,
bloodseeker,혈귀,Bloodseeker,agi,bloodseeker_sanguivore,식혈동물,Sanguivore,innate,-,혈귀가 유닛을 처치할 때 체력의 30 + 해당 유닛이 보유한 최대 체력의 일정 비율에 해당하는 생명력을 회복합니다. 아군이 근처에서 적 영웅을 처치하면 절반만큼 회복합니다.,,
bloodseeker,혈귀,Bloodseeker,agi,bloodseeker_rupture,파열,Rupture,ability,75/70/65,"적 유닛의 피부를 파열시켜 해당 유닛의 현재 체력을 바탕으로 최초 피해를 줍니다. 파열에 걸린 대상이 움직이면, 움직인 거리를 바탕으로 피해를 받습니다.",최초 피해가 증가하고 파열 충전 2회를 부여합니다.,
bounty_hunter,현상금 사냥꾼,Bounty Hunter,agi,bounty_hunter_shuriken_toss,수리검 투척,Shuriken Toss,ability,5,적 유닛에게 치명적인 수리검을 던져 피해를 주고 대상의 이동 속도를 느려지게 합니다. 수리검은 서로로부터 1200 반경 안에서 추적에 걸린 유닛에게 튕깁니다.,시전 범위가 증가하고 타격 시 지나다를 적용합니다.,
bounty_hunter,현상금 사냥꾼,Bounty Hunter,agi,bounty_hunter_jinada,지나다,Jinada,ability,9/7/5/3,현상금 사냥꾼이 다음 공격을 치밀하게 계획하여 보너스 피해를 주고 위험 골드 일부를 훔쳐냅니다.,,
bounty_hunter,현상금 사냥꾼,Bounty Hunter,agi,bounty_hunter_wind_walk,그림자 보행,Shadow Walk,ability,18/17/16/15,"현상금 사냥꾼이 투명 상태가 되며, 보너스 이동 속도를 얻고, 다른 유닛을 통과하여 이동합니다. 공격을 가하거나 주문을 시전하면 투명화가 풀립니다. 투명 상태에서 벗어나면서 공격하면, 대상을 짧은 시간 동안 기절시킵니다.",,
bounty_hunter,현상금 사냥꾼,Bounty Hunter,agi,bounty_hunter_wind_walk_ally,우호적 그림자,Friendly Shadow,shard,15,그림자 보행과 모든 보너스를 대상 아군에게 적용합니다. 아군의 투명화 진입 시간은 0.5초입니다. 시전 시 현상금 사냥꾼이 투명 상태에서 벗어나지 않습니다.,,
bounty_hunter,현상금 사냥꾼,Bounty Hunter,agi,bounty_hunter_big_game_hunter,대형 사냥감 사냥꾼,Big Game Hunter,innate,-,죽이는 적 영웅이 대형 사냥감이면 현상금 사냥꾼이 처치 및 처치 도움 골드를 20% 더 받습니다. 적 팀에서 수입 상위 3위에 해당하는 영웅을 대형 사냥감으로 간주합니다.,,
bounty_hunter,현상금 사냥꾼,Bounty Hunter,agi,bounty_hunter_track,추적,Track,ability,6/5/4,"적 영웅을 추적합니다. 대상을 진실의 시야로 볼 수 있으며, 대상이 받는 피해가 증가하고 지닌 골드의 양을 확인할 수 있습니다. 대상이 사망하면, 현상금 사냥꾼과 근처 영웅들이 보너스 보상금을 얻습니다. 추적을 시전해도 투명화 상태에서 벗어나지 않습니다.",,
brewmaster,취권도사,Brewmaster,all,brewmaster_thunder_clap,천둥벽력,Thunder Clap,ability,18/16/14/12,취권도사가 땅을 힘껏 내리쳐 주위 적 유닛에게 피해를 주고 이동 속도와 공격 빈도를 둔화합니다.,,
brewmaster,취권도사,Brewmaster,all,brewmaster_cinder_brew,화끈한 양조,Cinder Brew,ability,19/17/15/13,"술통을 적에게 굴려 경로에 있는 적에게 피해를 주고 대상 위치에 술을 쏟습니다. 경로 또는 술을 쏟은 범위에 있는 적은 화끈한 양조로 적셔지며, 둔화합니다. 적이 마법 또는 순수 피해를 받으면, 불이 붙으며 지속시간이 3초 연장되고 지속하여 피해를 받습니다.",,
brewmaster,취권도사,Brewmaster,all,brewmaster_drunken_brawler,취권,Drunken Brawler,ability,-,"취권도사가 원소를 바탕으로 한 자세를 자유로이 전환합니다. 취권도사가 능력을 시전할 때마다, 취기가 올라 5초 동안 자세의 위력이 150% 증가합니다. 취기 상태에서 다른 능력을 시전하면, 지속시간이 2초 늘어납니다. 취기가 만료되면, 숙취 상태가 되어 9초 동안 다시 취기가 오르지 못합니다. 대지 전사가 보너스 마법 저항력과 방어력을 얻습니다. 폭풍 전사가 보너스 회피와 이동 속도를 얻습니다. 불 전사가 보너스 공격 속도를 얻고 일정 확률로 치명타를 가합니다.",,
brewmaster,취권도사,Brewmaster,all,brewmaster_liquid_courage,술기운 객기,Liquid Courage,innate,-,"취권도사의 체력이 50% 아래로 떨어지면, 상태 저항력 강화 효과를 얻고 이동 속도가 1초마다 더 빨라졌다가 더 느려지기를 번갈아 반복합니다. 체력이 낮을수록 효과가 더 강해지며, 0부터 시작하여 체력이 20%일 때 최대치가 됩니다.",,독한 술을 팀원에게 던지거나 직접 마셔 술기운 객기 효과를 최대로 활성화하고 초당 3%의 최대 체력 재생 효과를 부여합니다. 5초 동안 지속합니다.
brewmaster,취권도사,Brewmaster,all,brewmaster_primal_split,원시의 분리,Primal Split,ability,140/130/120,취권도사가 원소에 특화된 전사 3명으로 분리되어 생존력을 극대화하고 각각 고유의 능력을 지닙니다. 소환 시간이 다할 때까지 전사 세 명 중 하나라도 살아남으면 취권도사는 다시 태어납니다. 각 전사는 해당하는 취권 자세를 얻습니다.,"원시의 분리 최대 레벨과 현재 레벨이 1레벨 증가하여, 전사와 전사의 능력이 향상됩니다. 원시의 분리를 조기에 취소할 수 있으며, 원시의 분리가 시작될 때 전사가 취기 상태가 됩니다.",
bristleback,가시멧돼지,Bristleback,str,bristleback_viscous_nasal_goo,끈적이는 콧물,Viscous Nasal Goo,ability,1.75,"대상에게 콧물을 발사하여 5초 동안 방어력과 이동 속도를 줄입니다. 콧물 효과는 서로 중첩되며, 추가 효과는 기존 효과의 지속시간을 초기화합니다.",,
bristleback,가시멧돼지,Bristleback,str,bristleback_quill_spray,가시 흩뿌리기,Quill Spray,ability,3/3/3/3,날카로운 가시를 흩뿌려 가시멧돼지 주위의 일정 범위 내에 있는 적 유닛을 공격합니다. 이전 14초 내에 가시 흩뿌리기로 피해를 받은 유닛에게는 추가 피해를 줍니다.,,
bristleback,가시멧돼지,Bristleback,str,bristleback_bristleback,가시투성이 등가죽,Bristleback,ability,-,가시멧돼지가 옆이나 뒤에서 공격받으면 피해를 덜 받습니다. 뒤에서 받는 피해가 충분한 수준이 되면 현재 레벨의 가시 흩뿌리기를 시전합니다.,"가시멧돼지에게 시전 능력을 추가합니다. 가시멧돼지가 지정 방향으로 회전하고 0.5초 후 등에서 가시 흩뿌리기를 0.4초 간격으로 5번 연속 강력하게 원뿔 모양으로 발사합니다. 해당 시간 동안 가시멧돼지가 고정되어 한 방향을 보며, 무장 해제되고 속도가 -40% 감소합니다.",
bristleback,가시멧돼지,Bristleback,str,bristleback_hairball,털덩이,Hairball,shard,15,대상 위치를 향해 가시가 가득한 털덩이를 뱉어냅니다. 털덩이는 해당 위치에서 분출하면서 적을 끈적이는 콧물 중첩과 가시 흩뿌리기로 타격합니다.,,
bristleback,가시멧돼지,Bristleback,str,bristleback_warpath,적개심,Warpath,ability,-,가시멧돼지가 주문을 시전할 때마다 분노에 빠져들어 이동 속도와 공격력이 증가합니다.,,
bristleback,가시멧돼지,Bristleback,str,bristleback_prickly,따끔따끔 가시투성이,Prickly,innate,-,뒤에 있는 적 영웅을 상대로 가시멧돼지가 보너스 피해를 주고 약화 효과 지속시간이 증폭됩니다.,,
broodmother,거미여왕,Broodmother,agi,broodmother_insatiable_hunger,끝없는 허기,Insatiable Hunger,ability,45/40/35/30,체액에 대한 갈망이 끓어올라 거미여왕의 공격력이 증가하고 자신과 새끼거미가 공격 시 흡혈 효과를 얻습니다.,,"허기가 활성화되어 있는 동안, 보너스 피해가 1초마다 4% 증가합니다."
broodmother,거미여왕,Broodmother,agi,broodmother_spin_web,거미줄 치기,Spin Web,ability,-,"거미여왕이 거대한 거미줄을 칩니다. 거미여왕이 거미줄 부근에 있을 때는 지속하여 이동 속도 및 방향 전환율이 증가할 뿐만 아니라 지형에 제약받지 않고 이동합니다. 새로운 거미줄이 기존 거미줄과 이어지기만 한다면 어디든 거미줄을 칠 수 있습니다. 거미줄은 시간이 지나도 사라지지 않지만, 거미여왕이 직접 제거할 수 있습니다. 최대 거미줄 개수를 초과하면 가장 오래된 거미줄이 사라집니다.",,
