node_id,tree,owner,tier,stat,glyph,prompt,asset_path,palette
sin_greed_t2_magicfind,sin,greed,2,magic_find,faceted_gem,Faceted gemstone with one contained glint and no burst rays,src/assets/art/icons/mastery/nodes/sin_greed_t2_magicfind.png,greed
sin_sloth_t2_hp,sin,sloth,2,hp_pct,living_seed,Seed held by two protective leaves; no heart or healing cross,src/assets/art/icons/mastery/nodes/sin_sloth_t2_hp.png,sloth
sin_sloth_t2_dr,sin,sloth,2,damage_reduction,solid_ward,Heavy closed ward plate absorbing an incoming force line,src/assets/art/icons/mastery/nodes/sin_sloth_t2_dr.png,sloth
sin_sloth_t2_cdr,sin,sloth,2,cooldown_reduction,short_hourglass,Narrow hourglass with the upper chamber nearly empty,src/assets/art/icons/mastery/nodes/sin_sloth_t2_cdr.png,sloth
sin_gluttony_t2_hpregen,sin,gluttony,2,hp_regen,renewing_sprout,Two-stage sprout growing from a compact root mark,src/assets/art/icons/mastery/nodes/sin_gluttony_t2_hpregen.png,gluttony
sin_gluttony_t2_crush,sin,gluttony,2,crushing_blow_pct,cracked_stone,Stone slab divided by one heavy fracture; no swinging weapon,src/assets/art/icons/mastery/nodes/sin_gluttony_t2_crush.png,gluttony
sin_gluttony_t2_resall,sin,gluttony,2,res_all,four_wards,Four small elemental ward stones arranged around one center,src/assets/art/icons/mastery/nodes/sin_gluttony_t2_resall.png,gluttony
sin_lust_t2_lifesteal,sin,lust,2,life_steal,drawn_drop,Single blood drop drawn inward between two curved hooks,src/assets/art/icons/mastery/nodes/sin_lust_t2_lifesteal.png,lust
sin_lust_t2_critchance,sin,lust,2,crit_rate,focused_star,Four-point precision star centered within a tiny target,src/assets/art/icons/mastery/nodes/sin_lust_t2_critchance.png,lust
sin_lust_t2_hprecovery,sin,lust,2,hp_recovery_pct,restoring_flask,Small restorative vessel with one rising leaf,src/assets/art/icons/mastery/nodes/sin_lust_t2_hprecovery.png,lust
sin_pride_t2_dr,sin,pride,2,damage_reduction,solid_ward,Heavy closed ward plate absorbing an incoming force line,src/assets/art/icons/mastery/nodes/sin_pride_t2_dr.png,pride
sin_pride_t2_resmax,sin,pride,2,res_max_bonus,double_ward,Two nested ward outlines enclosing a strong central core,src/assets/art/icons/mastery/nodes/sin_pride_t2_resmax.png,pride
sin_pride_t2_fhr,sin,pride,2,fhr,steadfast_pillar,Unbent central pillar braced by two short stabilizing arms,src/assets/art/icons/mastery/nodes/sin_pride_t2_fhr.png,pride
cls_warrior_t1_hp,class,warrior,1,hp_pct,living_seed,Seed held by two protective leaves; no heart or healing cross,src/assets/art/icons/mastery/nodes/cls_warrior_t1_hp.png,warrior
cls_warrior_t1_resall,class,warrior,1,res_all,four_wards,Four small elemental ward stones arranged around one center,src/assets/art/icons/mastery/nodes/cls_warrior_t1_resall.png,warrior
cls_warrior_t1_atk,class,warrior,1,atk_pct,rising_facets,Three forged stone facets rising toward a sharp central peak; no sword,src/assets/art/icons/mastery/nodes/cls_warrior_t1_atk.png,warrior
cls_knight_t1_hp,class,knight,1,hp_pct,living_seed,Seed held by two protective leaves; no heart or healing cross,src/assets/art/icons/mastery/nodes/cls_knight_t1_hp.png,knight
cls_knight_t1_def,class,knight,1,def_flat,armor_plate,Layered upright armor plate with a broad protected center,src/assets/art/icons/mastery/nodes/cls_knight_t1_def.png,knight
cls_knight_t1_dr,class,knight,1,damage_reduction,solid_ward,Heavy closed ward plate absorbing an incoming force line,src/assets/art/icons/mastery/nodes/cls_knight_t1_dr.png,knight
cls_mage_t1_atkspeed,class,mage,1,aspd_pct,speed_dial,Engraved speed dial with a long needle and four measured ticks; no weapon,src/assets/art/icons/mastery/nodes/cls_mage_t1_atkspeed.png,mage
cls_mage_t1_cdr,class,mage,1,cooldown_reduction,short_hourglass,Narrow hourglass with the upper chamber nearly empty,src/assets/art/icons/mastery/nodes/cls_mage_t1_cdr.png,mage
cls_mage_t1_crush,class,mage,1,crushing_blow_pct,cracked_stone,Stone slab divided by one heavy fracture; no swinging weapon,src/assets/art/icons/mastery/nodes/cls_mage_t1_crush.png,mage
cls_priest_t1_atkspeed,class,priest,1,aspd_pct,speed_dial,Engraved speed dial with a long needle and four measured ticks; no weapon,src/assets/art/icons/mastery/nodes/cls_priest_t1_atkspeed.png,priest
cls_priest_t1_cdr,class,priest,1,cooldown_reduction,short_hourglass,Narrow hourglass with the upper chamber nearly empty,src/assets/art/icons/mastery/nodes/cls_priest_t1_cdr.png,priest
cls_priest_t1_buffdur,class,priest,1,buff_dur_pct,sustained_flame,Enclosed steady flame held between two still vertical marks,src/assets/art/icons/mastery/nodes/cls_priest_t1_buffdur.png,priest
cls_archer_t1_atkspeed,class,archer,1,aspd_pct,speed_dial,Engraved speed dial with a long needle and four measured ticks; no weapon,src/assets/art/icons/mastery/nodes/cls_archer_t1_atkspeed.png,archer
cls_archer_t1_critchance,class,archer,1,crit_rate,focused_star,Four-point precision star centered within a tiny target,src/assets/art/icons/mastery/nodes/cls_archer_t1_critchance.png,archer
cls_archer_t1_hitbonus,class,archer,1,hit_bonus,bullseye,Concentric aiming target with a small centered point,src/assets/art/icons/mastery/nodes/cls_archer_t1_hitbonus.png,archer
cls_t2_weapon_damage,class,*,2,atk_pct,weapon_power,Simple weapon hilt beneath three rising power facets,src/assets/art/icons/mastery/nodes/cls_t2_weapon_damage.png,
cls_t2_weapon_atkspeed,class,*,2,aspd_pct,weapon_tempo,Simple weapon hilt beneath a measured speed dial,src/assets/art/icons/mastery/nodes/cls_t2_weapon_atkspeed.png,
cls_warrior_t2_heavy,class,warrior,2,aspd_pct,heavy_tempo,Heavy armor shoulders enclosing a small speed dial,src/assets/art/icons/mastery/nodes/cls_warrior_t2_heavy.png,warrior
cls_knight_t2_heavy,class,knight,2,aspd_pct,heavy_tempo,Heavy armor shoulders enclosing a small speed dial,src/assets/art/icons/mastery/nodes/cls_knight_t2_heavy.png,knight
cls_mage_t2_robe,class,mage,2,def_flat,robe_ward,Long robe collar enclosing a protective ward,src/assets/art/icons/mastery/nodes/cls_mage_t2_robe.png,mage
cls_priest_t2_robe,class,priest,2,def_flat,robe_ward,Long robe collar enclosing a protective ward,src/assets/art/icons/mastery/nodes/cls_priest_t2_robe.png,priest
cls_archer_t2_light,class,archer,2,hp_pct,light_vitality,Light leather armor outline protecting a living seed,src/assets/art/icons/mastery/nodes/cls_archer_t2_light.png,archer
